Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Volker Niedik,Stefan Heising,BSV,GER 8466,"1,7,1,3,DNC",125
2,Martin Görge,Klaus Köhnlein,TSVS,GER 8670,"7,2,3,1,6","120,69"
3,Jens Findel,Johannes Tellen,KYC,GER 8619,"4,5,2,2,4","116,38"
4,Dirk Filimonow,Lars Stöckmann,BSV,GER 8720,"2,4,4,BFD,3","112,07"
5,Wolfgang Hunger,Hans-Heinrich Rix,PYC,GER 8800,"5,3,9,BFD,1","107,76"
6,Tom Swift,Rainer Görge,NRV,GER 8775,"6,1,6,6,DNC","103,45"
7,Michael Rössler,Holger Neuhaus,SKMD,GER 8750,"3,6,7,5,5","99,14"
8,Tom Gosch,Steffen Achenbach,ENSFV,GER 8725,"13,9,13,4,2","94,83"
9,Christian Niefert,Thomas Weber,BSV,GER 8686,"11,10,8,11,8","90,52"
10,Norbert Dasenbrook,Sven Meier,KSW,GER 8663,"10,11,20,8,10","86,21"
11,Volker Görge,Karsten Morf,TSVS,GER 8675,"14,16,15,7,7","81,9"
12,Michael Troch,Eckart König,SGJ,GER 8531,"16,18,11,15,9","77,59"
13,Stefan Köchlin,Axel Priegann,SKF,GER 8669,"8,8,5,BFD,RAF","73,28"
14,Klaus Heeschen,Stefan Schmidt,WSCW,GER 8563,"15,19,14,13,11","68,97"
15,Helen Fischer,Robert Rothe,BYC,GER 8550,"12,23,12,10,DNC","64,66"
16,Stephan Krause,Michael Krause,HiSC,GER 8749,"19,14,22,14,14","60,34"
17,Hannes Lehning,Jens Rohn,SWE,GER 8522,"18,17,17,16,16","56,03"
18,Karsten Lahrs,Peter Gerdts,HYC,GER 8788,"DNC,13,10,12,DNC","51,72"
19,Alexander Kodisch,Gregor Franke,DTYC,GER 8570,"23,15,19,17,17","47,41"
20,Jörg Häger,Thorsten Drewes,SCB,GER 8768,"9,12,16,BFD,DNC","43,1"
21,Adalbert Kluck,Gerhard Schmidt,TSVS,GER 8505,"20,24,18,9,DNC","38,79"
22,Alexander Schulte,Gerrit Haaland,BYC,GER 8634,"25,20,24,18,12","34,48"
23,Jan Sell,Wiebke Gewinn,TUSF,GER 7764,"24,22,23,20,DNC","30,17"
24,Benjamin Bintig,Oliver Korittki,YCO,GER 8575,"28,27,26,DNC,15","25,86"
25,Stefan Worm,Mathias Kaiser,RYC,GER 8414,"17,21,21,BFD,DNC","21,55"
26,Nico Emonds,Wolfgang Bogacki,DSC,GER 8807,"21,25,DNC,19,DNC","17,24"
27,Bernd Lenz,Olaf Müller,SLRV,GER 8470,"27,26,25,21,DNC","12,93"
28,Hendrik Reinhardt,Axel Schult,SVSF,DEN 433,"26,DNC,DNC,DNC,13","8,62"
29,Jan Behrendt,Stefan Thurmann,NRV,GER 8734,"22,DNC,DNC,DNC,DNC","4,31"
