,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Punkte,Pl.
GER,8619,Jens Findel,Johannes Tellen,KYC,2,1,3,1
GER,8441,Rainer Gerdes,Falk Stenger,SSCK,3,4,7,2
GER,8522,Hannes Lehning,Jens Rohn,SWE,6,2,8,3
GER,8570,Alexander Kodisch,Gregor Franke,DTYC,5,3,8,4
GER,8657,Georg Neulen,Kai-Uwe Weiss,WYCA,4,5,9,5
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,1,OCS 10,11,6
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,9,6,15,7
GER,8608,Bernd Rasenack,Lars Dehne,ZSK,7,DNC 10,17,8
GER,8404,Jan Forster,Daniel Wehden,SGaM,8,DNC 10,18,9
