Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
GER,8619,Jens Findel,Johannes Tellen,KYC,1,1,6,2,2,DNC,110,1
GER,8744,Wolfgang Hunger,Hans-Heinrich Rix,PYC,2,4,1,5,1,DNC,106,2
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,3,2,8,3,5,2,103,3
GER,8750,Michael Rössler,Holger Neuhaus,SKMD,7,3,DNF,4,4,1,99,4
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,11,6,2,1,7,6,96,5
DEN,8656,Bo Pedersen,Henrik Buhl,,DNC,5,3,12,6,3,92,6
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,5,7,7,11,11,12,89,7
GER,8376,Volker Niedik,Stefan Heising,BSV,DNC,13,9,9,9,4,85,8
GER,8414,Stefan Worm,Mathias Kaiser,RYC,6,17,12,7,15,7,82,9
GER,8563,Klaus Heeschen,Stefan Schmidt,WSCW,OCS,8,11,10,14,9,79,10
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,10,9,10,14,10,DNC,75,11
GER,8507,Armin Eismann,Tino Käcks,SCA,9,14,13,13,17,DNC,72,12
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,12,16,DNC,16,13,11,68,13
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,18,10,19,18,12,DNC,65,14
GER,8607,Antje Paulsen,Björn Schaar,BSV,15,20,DNC,21,19,15,61,15
GER,8570,Alexander Kodisch,Gregor Franke,DTYC,17,19,18,20,20,DNC,58,16
GER,8634,Alexander Schulte,Gerrit Haaland,BYC,19,25,DNC,22,21,8,55,17
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,21,24,16,28,22,14,51,18
GER,8669,Tim Böger,Axel Priegann,HSC,DNC,12,5,DNC,3,DNC,48,19
GER,8065,Jonas von Weidenberg,Stefan von Weidenberg,SCE,16,23,14,24,23,DNC,44,20
GER,8843,Nicolai Völckner,Lars Dehne,HSC,4,15,4,DNC,DNC,DNC,41,21
DEN,8333,Mikkel Christiansen,Mads Christiansen,Aas,13,18,15,17,DNC,DNC,37,22
GER,6786,Hendrik Reinhardt,Axel Schult,SVSF,20,21,20,23,25,19,34,23
GER,8663,Norbert Dasenbrook,Jens Wilke,KSW,DNC,DNC,DNC,15,16,5,30,24
GER,8825,Jürgen Waldheim,Martin Maal,PYC,DNC,DNC,DNC,15,16,5,27,25
GER,8768,Jörg Häger,Thorsten Drewes,SCB,DNC,DNC,DNC,8,8,DNC,24,26
DEN,8440,Per Larsen,Henrik Andersen,Farum,8,11,DNC,DNC,DNC,DNC,20,27
GER,8674,Nick Dose,Andreas Poppe,,DNC,DNC,DNC,25,18,18,17,28
GER,7991,Henrik Heidorn,Hauke Sievers,SCE,DNC,DNC,DNC,19,26,17,13,29
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,DNC,DNC,DNC,27,24,13,10,30
GER,8127,Kristine König,Thilo König,BSV,14,22,DNC,DNC,DNC,DNC,6,31
GER,8297,Steve Kwee,Henrik Masekowitz,HSC,DNC,DNC,DNC,26,DNC,16,3,32
