Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Martin Kittsteiner,Oliver Stieglitz,HSC,GER 8747,"2,1,4,1",100
2,Helen Fischer,Robert Rothe,BYC,GER 8550,"1,2,1,2","92,31"
3,Tim Böger,Ulf Denecke,HSC,GER 8669,"4,3,2,3","84,62"
4,Stefan Roth,Jürgen Wasceszio,HSC,GER 7131,"3,7,3,6","76,92"
5,Andreas Jungclaus,Bruno Laudage,HSC,GER 6805,"7,5,6,5","69,23"
6,Steve Kwee,Henrik Masekowitz,HSC,GER 8297,"6,9,8,4","61,54"
7,Jan Sell,Wiebke Gewinn,TUSF,GER 7764,"5,6,7,7","53,85"
8,Birke Taufenbach,Henning Jacobsen,YCW,GER 7498,"DNC,4,9,9","46,15"
9,Jürgen Anton,Dirk Ipach,HSC,GER 8433,"DNC,OCS,5,8","38,46"
10,Christian Lempp,Angela Müller,HSC,GER 7746,"DNC,8,10,10","30,77"
11,Karsten Stümpel,Matthias Struck,HSC,GER 8370,"8,10,12,11","23,08"
12,Ralf Weselmann,Matthias Fedde,OSG,GER 7637,"9,11,13,DNC","15,38"
13,Axel Reese,Bruno Werner,OSC,GER 6685,"10,15,11,12","7,69"
