Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8851,"Wolfgang Hunger","Holger Jess",PYC,1,1,1,2,"DNF 17",22,,1
GER,8670,"Martin Görge","Klaus Köhnlein",TSVS,2,2,2,1,2,9,,2
GER,8669,"Tim Böger","Thomas Jung",HSC,5,3,3,4,"DNC 17",32,,3
GER,8622,"Lutz Stengel","Frank Feller",ROYC,6,4,4,3,4,21,,4
GER,8688,"Gunter Peters","Rainer Görge",,3,5,"DNF 17",5,3,33,,5
GER,8744,"Jörg Häger","Hans-Heinrich Rix",SCB,4,7,5,"BFD 17",1,34,,6
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,7,6,7,7,5,32,,7
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,10,11,6,8,6,41,,8
GER,8675,"Volker Görge","Harald Schott",TSVS,9,8,9,6,7,39,,9
GER,8433,"Jürgen Anton","Thomas Tschentscher",HSC,8,10,8,9,9,44,,10
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,11,9,10,10,8,48,,11
GER,8297,"Steve Kwee","Thorsten Spötter",HSC,16,13,11,13,11,64,,12
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,14,12,12,11,13,62,,13
GER,8560,"Stefan Behra","Hartwig Friedrichs",KYC,12,15,15,14,10,66,,14
GER,7131,"Stefan Roth","Jürgen Wasceszio",HSC,15,14,14,12,12,67,,15
GER,8607,"Antje Paulsen","Björn Schaar",BSV,13,16,13,"DNF 17","DNF 17",76,,16
