Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8775,"Tom Swift","Holger Jess",NRV,1,1,1,1,2,6,,1
GER,8670,"Martin Görge","Klaus Köhnlein",TSVS,2,3,3,6,1,15,,2
GER,8744,"Hans-Heinrich Rix","Axel Priegann",TSVS,3,2,2,4,3,14,,3
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,8,7,5,2,4,26,,4
GER,8825,"Stefan Köchlin","Nicole Hunecke",SKF,5,5,"DNC 12",3,6,31,,5
GER,8507,"Armin Eismann","Tino Käcks",SCA,7,4,6,5,7,29,,6
GER,8563,"Stefan Schmidt","Christian Niefert",SVSS,4,8,7,7,5,31,,7
GER,8414,"Stefan Worm","Wolf Pfeiffer",RYC,6,6,4,10,8,34,,8
GER,7548,"Heiko Wehde","Peter Schäftlein",SVF,10,10,8,8,9,45,,9
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,9,9,"DNF 12",9,11,50,,10
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,"DNF 12","DNC 12","DNC 12",11,10,57,,11
