Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8807,"Morten Bogacki","Wolfgang Bogacki",DYC,2,2,2,1,2,9,,1
GER,8669,"Tim Böger","Thomas Jung",HSC,3,1,1,5,4,14,,2
GER,8665,"Jens-Peter Schlomka","Urs Wihlfart",TSVS,1,3,3,2,5,14,,3
GER,8843,"Nicolai Völckner","Lars Dehne",HSC,5,4,7,3,3,22,,4
GER,8692,"Boris Herrmann","Julien Kleiner",ZSK,11,7,8,4,1,31,,5
GER,8522,"Hannes Lehning","Christoph Fuchs",SWE,7,8,4,8,7,34,,6
GER,8662,"Jan Stölken","Uwe Hooven",SCU,4,12,6,11,6,39,,7
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,8,5,5,9,11,38,,8
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,6,10,10,12,8,46,,9
GER,7498,"Alexander Holzapfel","Dirk Ipach",PSVK,14,6,12,7,12,51,,10
GER,7035,"Michael Köritz","Mathias Beilcken",USCO,12,11,"DNC 19",6,10,58,,11
GER,8297,"Steve Kwee","Henrik Masekowitz",HSC,10,14,14,14,9,61,,12
GER,7131,"Stefan Roth","Jürgen Wasceszio",HSC,13,"DNF 19",9,16,13,70,,13
GER,7760,"Oliver Kranich","Moritz Kranich",SGR,16,15,11,13,14,69,,14
GER,8458,"Christiane Giefers","Stefan Worm",SVPB,15,9,"DNF 19",10,"BFD 19",72,,15
GER,8725,"Rebecca Strahl","Thorge Holm",BOHYC,"DNF 19","DNC 19",13,15,15,81,,16
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,9,13,"DNF 19","DNF 19","DNF 19",79,,17
GER,7732,"Markus Hintz","Stefan Hess",HSC,17,16,"DNF 19","DNF 19","DNF 19",90,,18
