Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,8633,Stefanie Wagner,Wolfgang Stückl,DTYC,3,1,1,5,1
GER,8751,Andreas John,Angela Stenger,KYC,1,2,2,5,2
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,2,3,5,10,3
GER,8621,Stephan Schweiger,Jonas Nissen,SCLW,4,4,3,11,4
GER,8562,Wolfgang Seifert,Christian Voggeser,SCLW,6,7,4,17,5
GER,8530,Alexander von Mertens,Nette Jansen,StSC,5,5,10,20,6
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,8,9,6,23,7
GER,8375,Thorsten Koch,Franziska Koch,SCLW,7,10,8,25,8
GER,7661,Christina Höll,Alexander Wilhelm,HSC,9,11,7,27,9
GER,8702,Martin Handel,Volker Handel,SGK,11,8,9,28,10
GER,8204,Guido von Walter,Wiebke Waldheim,SCLW,12,6,12,30,11
GER,8098,Albrecht Maisch,Frank Letsche,SGK,10,12,11,33,12
GER,7130,Peter Wackerbauer,Klaudia Opitz,RSB,13,DNC 15,DNC 15,43,13
GER,7801,Benjamin Grosskurth,Susanne Grosskurth,SCLW,14,DNC 15,DNC 15,44,14
