Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8772,Ronald Roos,Kirsten Roos,SVWu,1,5,1,7,7,1
GER,8625,Alex Cross,Falko Braun,SCR,4,1,2,7,7,2
GER,8777,Stefan Schollmayer,Martin Eckel,SCMSP,3,2,4,9,9,3
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,2,7,3,12,12,4
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,5,4,5,14,14,5
GER,7778,Dirk Frank,Stefan Kempf,SCS,7,3,6,16,16,6
GER,8702,Martin Handel,Karsten Contag,SGK,6,6,7,19,19,7
GER,8450,Jürgen Feuerhake,Wolfgang Kiefaber,YCSb,8,8,8,24,24,8
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,SCNS,11,11,10,32,32,9
GER,8388,Caroline Szesny,Peter Wolffram,FYC,9,13,11,33,33,10
FRA,5411,Charles Maire,Celine Maire,ACAL,12,14,9,35,35,11
GER,606*,Karl-Heinz Sax,Robert Lehmann,SCBO,13,10,12,35,35,12
GER,8279,Oliver Koch,Markus Klos,SCBO,10,12,13,35,35,13
GER,8579,Peter Wackerbauer,Stefan Rosinger,RSB,14,9,14,37,37,14
GER,7778,Anne Nehrenberg,Johanna Lehr,SCBo,15,15,15,45,45,15
