Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8622,"Lutz Stengel","Frank Feller",ROYC,1,1,1,1,1,5,,1
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,9,2,2,2,6,21,,2
GER,8625,"Alex Cross","Falko Braun",SCR,3,4,3,3,9,22,,3
GER,8825,"Jürgen Waldheim","Martin Maal",PYC,2,10,5,6,2,25,,4
GER,8734,"Jan Behrendt","Stefan Thurmann",NRV,16,5,6,5,3,35,,5
GER,8749,"Stephan Krause","Michael Krause",HiSC,10,3,4,4,"DNF 19",40,,6
GER,8317,"Hartwig Friedrichs","Antje Gosch",WSCW,7,6,8,"DNC 19",5,45,,7
GER,8634,"Alexander Schulte","Gerrit Haaland",BYC,13,8,7,7,10,45,,8
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,11,7,9,9,7,43,,9
GER,8522,"Hannes Lehning","Wolf Pfeiffer",SWE,4,"DSQ 19","DSQ 19",8,4,54,,10
GER,8441,"Rainer Gerdes","Falk Stenger",SSCK,6,9,"DNC 19","DNC 19",8,61,,11
GER,8385,"Martin Bernauer","Ulf Geisler",CNFT,15,"DNC 19","DNC 19","DNC 19",11,83,,12
GER,8730,"Jens Hufnagel","Johannes Tellen",ScStM,5,"DNC 19","DNC 19","DNC 19","DNC 19",81,,13
GER,8128,"Mathias Konrad-Schmolke","Katrin Konrad-Schmolke",SV03,17,11,"DSQ 19","DNF 19","DNC 19",85,,14
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,8,"DNC 19","DNC 19","DNC 19","DNC 19",84,,15
GER,8507,"Armin Eismann","Harald Nowka",SCA,12,"DNC 19","DNC 19","DNC 19","DNC 19",88,,16
GER,8253,"Arwed Meyer","Tom Grigoleit",ZYC,14,"DNC 19","DNC 19","DNC 19","DNC 19",90,,17
GER,8365,"Sabine Foellbach","Robert Hanke",SLRV,18,"DNC 19","DNC 19","DNC 19","DNC 19",94,,18
