Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8851,"Wolfgang Hunger","Holger Jess",PYC,1,2,1,5,3,1,6,19,,1
FRA,8802,"Philippe Boite","Fabrice Toupet",CVM,2,4,7,2,14,2,5,36,,2
GER,8651,"Claas Lehmann","Martin Schöler",NRV,5,8,5,1,1,5,"BFD 43",68,,3
GBR,8834,"Ian Pinnell","Steven Hunt",GWSC,4,1,2,11,9,11,1,39,,4
GER,8619,"Jens Findel","Johannes Tellen",KYC,3,10,11,9,6,3,8,50,,5
GER,8672,"Christian Kellner","Klaus Stammerjohann",HSC,12,6,6,3,12,"BFD 43",4,86,,6
GER,8775,"Tom Swift","Rainer Görge",NRV,6,3,13,8,4,"BFD 43",14,91,,7
GER,8725,"Tom Gosch","Rolf Meyer",ENSFV,14,7,14,7,10,8,10,70,,8
GER,8466,"Volker Niedik","Stefan Heising",BSV,"DNF 43",13,3,12,19,4,7,101,,9
GER,8670,"Martin Görge","Klaus Köhnlein",TSVS,17,14,9,6,5,9,15,75,,10
DEN,8620,"Jan Saugmann","Morten Ramsbæk",HiS,21,5,20,13,8,10,9,86,,11
GER,8669,"Tim Böger","Thomas Jung",HSC,"DNF 43",11,10,23,13,7,3,110,,12
GER,8850,"Stefan Köchlin","Axel Priegann",SKF,10,16,12,4,7,22,"BFD 43",114,,13
DEN,8826,"Tom Bøjland","Christian Stormark",Farum,18,12,4,10,11,16,22,93,,14
AUS,8836,"Michael Quirk","Edward Cox",MHYC,9,"RAF 43",8,15,18,14,17,124,,15
GER,8686,"Christian Niefert","Thomas Weber",BSV,15,15,16,17,22,17,13,115,,16
GER,8750,"Michael Rössler","Holger Neuhaus",SKMD,11,20,"OCS 43",14,2,6,"BFD 43",139,,17
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,24,21,26,19,16,12,12,130,,18
DEN,8440,"Per Larsen","Henrik Andersen",Farum,"DNF 43","DNC 43",18,16,20,15,2,157,,19
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,13,19,17,21,35,23,19,147,,20
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,20,23,15,20,17,27,18,140,,21
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,19,17,24,18,23,19,20,140,,22
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,16,18,21,24,21,18,"BFD 43",161,,23
GER,8843,"Nicolai Völckner","Lars Dehne",HSC,7,9,22,26,"DNF 43",20,"DNC 43",170,,24
GER,8751,"Melanie Horstmann","Angela Stenger",HSC,23,24,28,27,25,13,"BFD 43",183,,25
GER,8625,"Alex Cross","Falko Braun",SCR,27,28,19,22,15,20,"BFD 43",174,,26
GER,8505,"Adalbert Kluck","Stefan Hildebrand",TSVS,22,26,27,28,34,32,25,194,,27
GER,8657,"Georg Neulen","Kai-Uwe Weiss",WYCA,34,27,23,25,24,31,"DNC 43",207,,28
GER,8734,"Jan Behrendt","Stefan Thurmann",NRV,"DNF 43","DNC 43",32,29,28,24,16,215,,29
GER,8522,"Hannes Lehning","Christoph Fuchs",SWE,28,"DNF 43","DNC 43",32,30,25,21,222,,30
GER,8530,"Alexander von Mertens","Andreas Meyer zu Schwabedissen",StSC,26,25,29,36,32,33,24,205,,31
GER,8570,"Alexander Kodisch","Stefan Peters",DTYC,29,31,25,37,31,29,26,208,,32
GER,8548,"Christiane Giefers","Jens Krause",SVPB,31,29,37,30,26,35,29,217,,33
GER,8450,"Jürgen Feuerhake","Margit Falk",YCSb,"DNF 43","DNC 43",31,31,27,28,27,230,,34
GER,8065,"Jonas von Weidenberg","Henrik Heidorn",SCE,25,"DNC 43",30,34,29,34,30,225,,35
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,33,"DNF 43","DNF 43","DNC 43","DNC 43",26,11,242,,36
GER,7764,"Jan Sell","Wiebke Gewinn",TUSF,32,"DNF 43",36,33,36,36,23,239,,37
SWE,6709,"Lars Bjerke","Tore Reimold",BKSS,30,"DNF 43",33,35,33,38,31,243,,38
GER,8392,"Konrad Barop","Justus Rauno",RSV,35,30,34,"DNF 43",37,37,"DNC 43",259,,39
GER,7996,"Carsten Vessbach","Heiko Flack",,"DNF 43","DNC 43",35,38,38,39,28,264,,40
GER,8675,"Volker Görge","Karsten Morf",TSVS,8,22,"DNF 43","DNC 43","DNC 43","DNC 43","DNC 43",245,,41
GER,8470,"Bernd Lenz","Olaf Müller",SLRV,"DNC 43","DNC 43",38,39,"DSQ 43",40,32,278,,42
