Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8622,"Lutz Stengel","Frank Feller",ROYC,2,1,3,6,6,1
GER,8531,"Michael Troch","Eckart König",SGJ,4,3,6,13,13,2
GER,6786,"Hendrik Reinhardt","Axel Schult",SVSF,5,4,9,18,18,3
GER,8507,"Armin Eismann","Tino Käcks",SCA,8,5,5,18,18,4
GER,8851,"Wolfgang Hunger","Holger Jess",PYC,1,2,"DNC 17",20,20,5
DEN,8656,"Bö Pedersen","Henrik Buhl",,3,"DNC 17",1,21,21,6
GER,8686,"Christian Niefert","Jens Steinert",BSV,11,9,2,22,22,7
GER,8825,"Jürgen Waldheim","Martin Maal",PYC,12,10,4,26,26,8
GER,8662,"Jan Stölken","Matthias Brühl",SCU,7,12,8,27,27,9
GER,8474,"Hans Christophersen","Hans Salein",KAR,10,11,7,28,28,10
GER,8850,"Stefan Köchlin","Axel Priegann",SKF,6,6,"DNC 17",29,29,11
GER,8657,"Georg Neulen","Kai-Uwe Weiss",WYCA,13,8,10,31,31,12
DEN,8333,"Mikkel Christiansen","Mads Christiansen",Aas,14,7,11,32,32,13
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,9,13,12,34,34,14
GER,6500,"Lutz Kandzia","Stefan Lührs",ASV,15,14,14,43,43,15
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,16,15,13,44,44,16
