Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8665,Jens-Peter Schlomka,Urs Wihlfart,TSVS,5,6,1,12,12,1
GER,8851,Wolfgang Hunger,Holger Jess,PYC,1,1,DNC 11,13,13,2
GER,8670,Martin Görge,Klaus Köhnlein,TSVS,2,2,DNF 11,15,15,3
GER,8686,Christian Niefert,Thomas Weber,BSV,4,4,DNF 11,19,19,4
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,3,7,DNF 11,21,21,5
GER,885*,Marcus Baur,Martin Schöler,NRV,DSQ 11,3,DNF 11,25,25,6
GER,8669,Tim Böger,Thomas Jung,HSC,DSQ 11,5,DNF 11,27,27,7
GER,8071,Elke Schott,Harald Schott,SVS,6,DNF 11,DNC 11,28,28,8
GER,7764,Jan Sell,Wiebke Gewinn,TUSF,7,DNF 11,DNC 11,29,29,9
GER,8370,Karsten Stümpel,Enno Wilts,HSC,8,DNF 11,DNC 11,30,30,10
