Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2",Brutto,Netto,Place
GER,8670,"Martin Görge","Rainer Görge",TSVS,2,1,3,3,1
GER,8711,"Jens Findel","Carsten Engel",KYC,5,2,7,7,2
GER,8775,"Tom Swift","Philip Ismar",NRV,4,4,8,8,3
GER,8671,"Joachim Hellmich","Christian Paschen",WYD,1,8,9,9,4
GER,8621,"Stephan Schweiger","Jonas Nissen",SCLW,9,3,12,12,5
GER,8751,"Melanie Horstmann","Angela Stenger",HSC,8,6,14,14,6
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,6,1,7,7,7
GER,8669,"Tim Böger","Thomas Jung",HSC,7,9,16,16,8
GER,8750,"Michael Rössler","Holger Neuhaus",SKMD,3,4,7,7,9
GER,8441,"Rainer Gerdes","Falk Stenger",SSCK,11,7,18,18,10
GER,8480,"Nils Hollenbeck","Michael Kreutzmann",WYD,14,5,19,19,11
GER,8609,"Alexander Holzapfel","Stefan Worm",PSVK,12,13,25,25,12
GER,8725,"Hendrik Ismar","Rolf Meyer",WYD,10,16,26,26,13
DEN,8827,"Franziska Unkelbach","Christian Stormark",KYC,19,11,30,30,14
GER,8843,"Felix Ismar","Lars Dehne",WYD,13,17,30,30,15
GER,8522,"Hannes Lehning","Christoph Fuchs",SWE,20,12,32,32,16
GER,8433,"Jürgen Anton","Wolf Pfeiffer",HSC,15,18,33,33,17
GER,8335,"Helmut Madeheim","Thomas Osterholz",PBYC,21,15,36,36,18
GER,8692,"Nicolai Völckner","Johannes Tellen",HSC,16,2,18,18,19
GER,8458,"Christiane Giefers","Jens Krause",SVPB,17,22,39,39,20
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,18,23,41,41,21
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,23,19,42,42,22
GER,8108,"Rebecca Strahl","Thorge Holm",BOHYC,24,24,48,48,23
GER,6805,"Andreas Jungclaus","Bruno Laudage",HSC,"DNF 26",21,47,47,24
GER,8607,"Antje Paulsen","Björn Schaar",BSV,22,"DNC 26",48,48,25
