Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
GBR,5789,Peter Colclough,Steve Jones,,,,1
AUS,0,Terry Kyrwood,Reg Crick,,,,2
AUS,0,R. Nonris,I. Rors,,,,3
