,Boot,Steuermann,Vorschoter,Club,Platzierungen,Punkte,Pl.
GER,8843,Jens Hufnagel,Lars Dehne,ScStM,1,1,1
GER,8661,Diethardt Freye,Marcus Eigen,BSV,2,2,2
