Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points Race 1,Points Race 2,Points Race 3,Points Total,Points Netto,Place
DEN,8211,Krister Bergström,,,3,2,4,"5,7",3,8,,"16,7",1
GER,7958,,,,1,11,3,0,17,"5,7",,"22,7",2
DEN,8031,Lars Christensen,Jan Feddersen,,2,7,6,3,13,"11,7",,"27,7",3
GER,8155,Carsten Hammer,Rolf Meyer,,5,3,8,10,"5,7",14,,"29,7",4
DEN,8030,Bo Petersen,Søren Storm,,25,1,1,31,0,0,,31,5
SWE,8116,Björn Fagerström,Johan Wadmark,,8,4,5,14,8,10,,32,6
DEN,8108,Jørgen Holm-Nielsen,Finn Jensen,,10,5,2,16,10,6,,32,7
DEN,8228,Jacob Bojsen-Møller,,,12,6,12,18,"11,7",18,,"47,7",8
DEN,8227,Stefan Lange,Holger Jess,,4,15,13,8,21,19,,48,9
DEN,7934,Sten Skorsgaard,Morten Storgaard,,11,10,10,17,16,16,,49,10
DEN,8056,Mikkel Storgaard,Anders Frimodt-Møller,,9,13,15,15,19,21,,55,11
DEN,7781,Andreas Thomsen,Reinhard Schultz,,17,16,7,23,22,13,,58,12
DEN,8188,Brigitte Preuß,Rolf Bertenrath,,16,14,14,22,20,20,,62,13
DEN,7882,Thomas D. Albrechtsen,Morten Jakobsen,,18,8,19,24,14,25,,63,14
DEN,8210,Morten Reinhold,,,15,9,21,21,15,27,,63,15
DEN,8144,Lars Bøjvad-Jansen,,,6,DNC,11,"11,7",37,17,,"65,7",16
DEN,7589,Adalbert Kluck,Gerhard Schmidt,,7,21,20,13,27,26,,66,17
DEN,7820,,,,14,18,22,20,24,28,,72,18
GER,7*,,,,20,DNS,9,26,37,15,,78,19
DEN,8226,Tim Böger,Klaus Stammerjohann,,13,20,PMS,19,26,37,,82,20
DEN,7860,Harald Wefers,,,22,26,17,28,32,23,,83,21
DEN,7782,Kai Mares,Axel Seemann,,21,22,23,27,28,29,,84,22
DEN,8075,Hauke Rathjens,Frank Uhlemann,,19,23,24,25,29,30,,84,23
DEN,7851,Lars Wille Jensen,Lau Wogelius,,23,24,28,29,30,34,,93,23
DEN,8005,Berend Terveer,,,24,25,26,30,31,32,,93,24
DEN,8128,Hartwig Friederichs,Jens Weishaupt,,DNC,17,27,37,23,33,,93,25
DEN,7883,,,,DNC,DNC,18,37,37,24,,98,26
DEN,7718,,,,DNC,27,25,37,33,31,,101,27
DEN,7271,,,,DNC,DNS,29,37,37,35,,109,28
DEN,6087,,,,DNC,DNS,DNC,37,37,37,,111,29
