Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
FRA,4815,Philippe Blanchard,Philippe Blanchard,,,,,,,,,,,1
FRA,4978,Doerenbecher,Doerenbecher,,,,,,,,,,,2
FRA,4620,Heymann,Heymann,,,,,,,,,,,3
FRA,4881,Nesseler,Nesseler,,,,,,,,,,,4
FRA,3646,Wastiaux,Laugerotte,,,,,,,,,,,5
FRA,5003,Pfaadt,Ziegelmeyer,,,,,,,,,,,6
FRA,2693,Marechal,Gerbet,,,,,,,,,,,7
FRA,3228,Schneblen,Drouot,,,,,,,,,,,8
FRA,3715,Mulder,Richard,,,,,,,,,,,9
FRA,4343,Baillet,Berger,,,,,,,,,,,10
FRA,4238,Quenot,Regnier,,,,,,,,,,,11
FRA,2491,Brunel,Laffargue,,,,,,,,,,,12
FRA,4140,Schutz,Schutz,,,,,,,,,,,13
FRA,2001,Ehrhardt,Fleischer,,,,,,,,,,,14
FRA,4848,Grevis,Schmidt,,,,,,,,,,,15
FRA,4440,Virtau,Bard,,,,,,,,,,,16
FRA,3332,Jouclard,Martin,,,,,,,,,,,17
FRA,4509,Namuoy,Namuoy,,,,,,,,,,,18
