Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,3650,Paternault,Guiomard,,,,,,,,,6,1
FRA,5079,Alain Doloy,Lazennec,,,,,,,,,"14,7",2
FRA,4910,Roland Jouandeau,Antier,,,,,,,,,"21,7",3
FRA,4360,Meertens,Meertens,,,,,,,,,"26,7",4
FRA,4872,Champion,Amirkasian,,,,,,,,,"26,7",4
FRA,3644,Niverd,Niverd,,,,,,,,,"37,7",6
FRA,3915,Durand,Le Corvec,,,,,,,,,44,7
FRA,2771,Souloumiac,Souloumiac,,,,,,,,,"45,7",8
FRA,8,Guy Hédouin,Olivier,,,,,,,,,50,9
FRA,3593,Picard,Durand,,,,,,,,,51,10
FRA,4036,Taillandier,Taillandier,,,,,,,,,52,11
FRA,4707,Noel,Noel,,,,,,,,,55,12
FRA,2845,Herfort,Simonneau,,,,,,,,,58,13
FRA,3902,Westphal,Richard,,,,,,,,,61,14
FRA,2656,Derville,Nouville,,,,,,,,,62,15
FRA,4891,F. Souvestre,Ehlinger,,,,,,,,,67,16
FRA,3716,Jamin,Drechslers,,,,,,,,,67,16
FRA,3621,Fontugne,Jacquet,,,,,,,,,69,18
FRA,2314,Herbinet,Herbinet,,,,,,,,,80,19
FRA,4046,Domain,"Parent, L,",,,,,,,,,82,20
FRA,2349,Blanchet,Payebien,,,,,,,,,86,21
FRA,579,Peussier,De La Giroday,,,,,,,,,91,22
FRA,2329,Menu,Massot,,,,,,,,,93,23
FRA,1700,Roulot,Roulot,,,,,,,,,94,24
FRA,3663,Chauvaux,Dorion,,,,,,,,,99,25
FRA,4667,Legentil,Legentil,,,,,,,,,99,25
