Country,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
FRA,5079,Alain Doloy,Lazennec,,,,,,,,1
FRA,5002,Tixier,Merron,,,,,,,,2
FRA,4884,Gadel,Gadel (Frères),,,,,,,,3
FRA,4666,Blanchard,Jacques Baptiste Lebrun,,,,,,,,4
FRA,5010,Claude Fixot,Nicolas Vasseur,,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
,,,,,,,,,,,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
