Country,Number,Helm,Crew,Club,Race 1,Total,Points,Place
FRA,4747,Yves Pajot,Bastard,,,,0,1
FRA,4915,François Fischer,Jacques Chouraki,,,,6,2
FRA,4228,Gilbert Vinches,François Padovani,,,,"13,7",3
FRA,4924,Amiot,Bisson,,,,20,4
FRA,5033,Armengaud,Hoffmann,,,,"23,4",5
FRA,4666,Blanchard,Lebrun,,,,29,6
FRA,5023,Pillon,Pillon,,,,30,7
FRA,4869,Coindreau,Dumay,,,,33,8
FRA,5339,Marcel Buffet,Thierry Moreau-Defarges,,,,"33,7",9
FRA,4639,Calset,Lemarchand,,,,35,10
FRA,4399,Duhau,Dunand,,,,35,11
FRA,4970,Robert Leibovitch,Blasquiz,,,,35,12
FRA,4513,Taillandier,Bonnel,,,,36,13
FRA,4667,Leger,Le Gentil,,,,41,14
FRA,4869,Bert,Claude,,,,42,15
FRA,5024,Comte,Roquelanie,,,,42,16
FRA,3486,Favre,Favre,,,,42,17
FRA,5013,Beauvais,Barataud,,,,44,18
FRA,4891,Souvestre,Simoneau,,,,50,19
FRA,3299,Delaunay,Caranet,,,,53,20
FRA,4307,Laly,Hautin,,,,54,21
FRA,1567,Olive,Fercot,,,,56,22
