Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,,,11,1
FRA,3650,Bernard Paternault,Denis Guiomard,,,,,,,,,"19,4",2
FRA,5010,Claude Fixot,Charly Hadfield,,,,,,,,,21,3
FRA,4924,Jacques Amiot,Gilles Bisson,,,,,,,,,"21,7",4
FRA,5079,Alain Doloy,Lazennec,,,,,,,,,"23,7",5
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,"25,7",6
FRA,4453,Fenouil,Angel,,,,,,,,,26,7
FRA,4910,Roland Jouandeau,Rouger,,,,,,,,,32,8
FRA,4869,Bert,Pierre Coindreau,,,,,,,,,34,9
FRA,4891,F. Souvestre,Palfer,,,,,,,,,"37,4",10
FRA,4970,Robert Leibovitch,Leger,,,,,,,,,"39,7",11
FRA,4036,Taillandier,Blondet,,,,,,,,,50,12
FRA,4806,Desmoulins,Adler,,,,,,,,,56,13
FRA,8,Guy Hédouin,Adler,,,,,,,,,57,14
FRA,4494,Goldfarb,Perron,,,,,,,,,59,15
FRA,3644,Niverd,Niverd,,,,,,,,,60,16
FRA,4667,Gentil,Couillagin,,,,,,,,,64,17
FRA,5024,Robert Comte,Jever,,,,,,,,,65,18
