Country,Number,Helm,Crew,Club,,Points,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,CVP,,0,1
FRA,4228,Vinches,Padovani,YCD,,14,2
FRA,2845,Herfort,Mandoff,CVESQ,,19,3
FRA,5010,Fixot,Hadfield,CVM,,"25,7",4
FRA,5022,Buck,Lallemand,YCIF,,"27,4",5
FRA,5079,Alain Doloy,Ehlinger,CVP,,"27,7",6
FRA,4924,Amiot,Bisson,YCD,,"27,7",7
FRA,3650,Bernard Paternault,Denis Guiomard,CVD,,"30,4",8
FRA,4491,Souvestre,Bizouard,CVM,,"40,7",9
FRA,8,Guy Hédouin,Barrault,CNVC,,44,10
FRA,4036,Taillandier,Bonnel,YCP,,45,11
FRA,4970,Robert Leibovitch,Blasquiz,CNVC,,46,12
FRA,4806,Desmoulins,Adler,CVM,,57,13
FRA,4399,Duhau,Claude,CVP,,60,14
FRA,3644,Niverd,Niverd,CVD,,61,15
FRA,2492,Privat,Louisnard,CVESQ,,61,16
FRA,4667,Le Gentil,Couillabin,CVP,,63,17
FRA,4307,Laly,Mautin,CNVC,,66,18
FRA,5013,Beauvais,Barataud,CNVC,,76,19
FRA,4869,Coindreau,Dumay,CVP,,78,20
