Country,BoatNumber,Helm,Crew,Club,Race1,Race2,Race3,Race4,BoatName,PointsTotal,PointsNetto,Place
FRA,4654,Patrick Nicolas,Bujeau,,,,,,,,"13,7",1
FRA,5062,Jean-Pierre Bouvet,J.L. Mahe,,,,,,,,"17,4",2
FRA,5150,Bruno Lévesque,Michel Guezou,,,,,,,,25,3
FRA,4904,Pierre Bretèche,Le Soudeer,,,,,,,,"35,7",4
FRA,3694,Lévesque,Villeaume,,,,,,,,"38,4",5
FRA,4603,Jean Thobie,Patrick Ricci,,,,,,,,40,6
FRA,4701,Hughes Lecerf,Gueulette,,,,,,,,"40,7",7
FRA,3535,Cassou,Kergreis,,,,,,,,"46,7",8
FRA,4622,Chaplain,J. C. Bréard,,,,,,,,"51,7",9
FRA,4332,Drianno,Robin,,,,,,,,52,10
FRA,5011,Judic,Judic,,,,,,,,61,11
FRA,4891,F. Souvestre,Lepage,,,,,,,,71,12
FRA,4808,Nicholas Loday,Nicolas Fédorenko,,,,,,,,"73,7",13
FRA,4390,Michel Grossain,Halgand,,,,,,,,76,14
FRA,3771,Baillet,Baillet,,,,,,,,82,15
FRA,276,Religuet,Garbaccio,,,,,,,,92,16
FRA,4488,Fouche,Foliche,,,,,,,,92,16
