Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,,Claude Fixot,Nicolas Vasseur,,,,,,,1
FRA,,Maurice Legloahec,,,,,,,,2
FRA,,Jean Bert,Alain Lallemént,,,,,,,3
FRA,,Roland Jouandeau,,,,,,,,4
FRA,,,,,,,,,,5
FRA,,,,,,,,,,6
FRA,,,,,,,,,,7
FRA,,,,,,,,,,8
FRA,,,,,,,,,,9
FRA,,,,,,,,,,10
FRA,,,,,,,,,,11
FRA,,,,,,,,,,12
FRA,,,,,,,,,,13
FRA,,,,,,,,,,14
FRA,,,,,,,,,,15
FRA,,,,,,,,,,16
