Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,4915,François Fischer,Jacques Chouraki,,1,1,1,,,,,1
FRA,4639,Marcel Buffet,Coindreau,,,,,,,,,2
FRA,4279,Alain Doloy,Philippe Leger,,,,,,,,,3
FRA,4288,Gilbert Vinches,François Padovani,,,,,,,,,4
FRA,4970,Robert Leibovitch,Duhau,,,,,,,,,5
FRA,4664,Jean-Marc Boudier,Annie Boudier,,,3,,,,,,6
FRA,4325,Loisel,Martin,,,,,,,,,7
FRA,5013,Pierre Beauvais,Forestier,,,,,,,,,8
FRA,8,Guy Hédouin,Barrault,,,,,,,,,9
FRA,,Ribadeau Dumas,,,,,,,,,,10
FRA,4356,Jacques Lefèvre,Ronot,,,,,,,,,11
FRA,4139,Jacob-Antoine Lortat,Maillebiau,,,,,,,,,12
FRA,3153,Galet,Galet,,,,,,,,,13
FRA,4667,Martin,Le Gentil,,,,,,,,,14
