Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,4700,Pascal Tétard,Michel Christ,B.I.,,,,,,,,1
FRA,4702,Jean-Marie Daniélou,Jean-Charles Gillet,S.R.R.,,,,,,,,2
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,C.V.B.,,,,,,,,3
FRA,4571,Bruno Lévesque,Robin,S.N.O.,,,,,,,,4
FRA,4815,Philippe Blanchard,Jean Marc Blanchard,ACALS,,,,,,,,5
SUI,4636,Balmas,Balmas,,,,,,,,,6
FRA,5032,Bernard Reynier,François Dury,C.N.B.,,,,,,,,7
FRA,4825,Haegeli,Brodard,C.V.P.,,,,,,,,8
FRA,4822,Jérôme Langlois,Philippe Sérane,C.N.C.,,,,,,,,9
GER,4966,Hampe,Jenssen,E.T.U.F.,,,,,,,,10
FRA,4884,Pierre Gadel,Georges Gadel,C.N. VIDY,,,,,,,,11
FRA,2693,Christian Maréchal,André Gerbet,C.V.L.C.,,,,,,,,12
SUI,4819,Lucien Keller,Edouard Kessi,C.N.M.,,,,,,,,13
FRA,4325,Patrick Oeuvrard,Fountaine,Y.C.C.,,,,,,,,14
GER,4729,André Zander,Bobbert,EKSB/ESSEN,,,,,,,,15
SUI,4223,Urs Scherrer,Blum,Y.C.Z.,,,,,,,,16
FRA,4654,Patrick Nicolas,Bujeau,C.N.B.P.,,,,,,,,17
FRA,4809,Tpcuele,Yvon Kergreis,E.T.U.F.,,,,,,,,18
SUI,4911,Feulmann,Pasche,C.N.M.,,,,,,,,19
FRA,4459,Bernard Claudel,Alain Claudel,U.R.G.J.,,,,,,,,20
FRA,4915,François Fischer,Jacques Chouraki,C.V.R.,,,,,,,,21
SUI,4093,Muller,Wismer,Y.C.Z.,,,,,,,,22
FRA,4593,Fayein,Fayein,C.V.B.,,,,,,,,23
FRA,4603,Jean Thobie,Patrick Ricci,C.N.B.,,,,,,,,24
GER,4704,Kay Ewaldsen,Egbert Lechtenböhmer,R.Y.A.,,,,,,,,25
SUI,4357,Nordeide,Schwab,S.N.M.,,,,,,,,26
FRA,4323,Th. de Chalvron,René Morch,C.V.L.,,,,,,,,27
SUI,116,Naville,Killiet,Y.C.V.,,,,,,,,28
FRA,4800,Mesmin,Heripret,S.R.R.,,,,,,,,29
FRA,4910,Roland Jouandeau,Antier,C.N.V.C.,,,,,,,,30
FRA,3732,Jeandot,Chaffin,C.V.L.C.,,,,,,,,31
FRA,5000,Falempin,Daudier de Cassini,,,,,,,,,32
FRA,5*,Richard,Leger,Y.C.C.,,,,,,,,33
GER,4676,Theo Graff,Werner Graff,S.C.S.B.,,,,,,,,34
SUI,4386,Feverhake,Huber,Y.C.S.,,,,,,,,35
FRA,4512,Vouillon,Sanglier,Y.C.C.,,,,,,,,36
FRA,4399,Duhau,Desculins,C.V.P.,,,,,,,,37
FRA,4891,F. Souvestre,Palfer-Sollier,C.V.M.,,,,,,,,38
FRA,4664,Jean-Marc Boudier,Annie Boudier,C.V.P.,,,,,,,,39
GER,4001,Nill,Kessler,Y.C.S.,,,,,,,,40
FRA,5010,Claude Fixot,Charly Hadfield,C.V.M.,,,,,,,,41
FRA,4355,Leclef,Chonel,Y.C.C.,,,,,,,,42
FRA,3305,Vauthier,Vauthier,CVMS,,,,,,,,43
FRA,5024,Robert Comte,Aniere,Y.C.P.,,,,,,,,44
FRA,5001,Gilbert,Tristan,S.R.R.,,,,,,,,45
FRA,4848,Grevis,Schmitt,C.N.R.,,,,,,,,46
FRA,2770,Bongiorno,Delonca,C.N.S.R.,,,,,,,,47
GBR,4942,Nevard,Holt,W.S.C.,,,,,,,,48
SUI,4889,Braun,Wiedermann,Y.C.L.,,,,,,,,49
