Country,Number,Helm,Crew,Club,Race 1,Points,Place
FRA,4639,Marcel Buffet,Nicolas Vasseur,,,0,1
FRA,5150,Guyot,Leger,,,6,2
FRA,4228,Gilbert Vinches,François Padovani,,,"11,7",3
FRA,4513,Taillandier,Bonnel,,,"29,7",4
FRA,3650,Bernard Paternault,Denis Guiomard,,,31,5
FRA,5168,Bert,Claude,,,"36,4",6
FRA,4869,Coindreau,Tassin,,,39,7
FRA,5010,Claude Fixot,Hadfield,,,40,8
FRA,4970,Robert Leibovitch,Blasquiz,,,"41,7",9
FRA,3644,Niverd,Niverd,,,42,10
FRA,4924,Amiot,Bisson,,,44,11
FRA,4399,Duhau,Dunand,,,45,12
FRA,4667,Legentil,Legentil,,,48,13
FRA,4639,Hamon,Venthenat,,,49,14
