Country,Number,Helm,Crew,Club,,Points,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,CVP,,0,1
FRA,2845,Herfort,Mandoff,CVESQ,,19,2
FRA,5010,Claude Fixot,Hadfield,CVM,,"25,7",3
FRA,5022,Philippe Buck,Lallemand,YCIF,,"27,4",4
FRA,5079,Alain Doloy,Ehlinger,CVP,,"27,7",5
FRA,4228,Gilbert Vinches,François Padovani,YCD,,35,6
FRA,3650,Bernard Paternault,Denis Guiomard,CVD,,"38,7",7
FRA,4924,Amiot,Bisson,YCD,,"44,7",8
FRA,4491,Souvestre,Bizouard,CVM,,46,9
FRA,4970,Robert Leibovitch,Blasquiz,CNVC,,46,10
FRA,4036,Taillandier,Bonnel,YCP,,48,11
FRA,8,Guy Hédouin,Barrault,CNVC,,55,12
FRA,4806,Desmoulins,Adler,CVM,,57,13
FRA,4399,Duhau,Claude,CVP,,60,14
FRA,3644,Niverd,Niverd,CVD,,61,15
FRA,4667,Le Gentil,Couillabin,CVP,,66,16
FRA,4307,Laly,Christian Mautin,CNVC,,71,17
FRA,2492,Privat,Louisnard,CVESQ,,72,18
FRA,5013,Beauvais,Barataud,CNVC,,76,19
