Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points Total,Points Netto,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,1,1,1,,,0,1
FRA,4279,Alain Doloy,Lazennec,,,,,1,,"21,7",2
FRA,4900,Roland Banel,Serge Banel,,,,,,,"22,7",3
FRA,5003,Pfaadt,Ziegelmeyer,,,,,,,"25,7",4
FRA,4803,Guyot,Valenci,,,,,,,26,5
FRA,4978,Francis Doerenbecher,Nlecker,,,,,,,"26,4",6
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,30,7
FRA,4453,Fenouil,Angel,,,,,,,33,8
FRA,4440,Leger,Vasseur,,,,,,,"36,7",9
FRA,4431,Christian Hauvette,Philippe Craplet,,,,,,,38,10
FRA,5010,Claude Fixot,Defarges Y.,,,,,,,43,11
FRA,4924,Jacques Amiot,Gilles Bisson,,,,,,,-,12
FRA,4970,Robert Leibovitch,Duhau,,,,,,,-,13
FRA,4891,F. Souvestre,Palfer,,,,,,,-,14
FRA,5013,Pierre Beauvais,Debry,,,,,,,-,15
FRA,4605,Gre,Colinet,,,,,,,-,16
FRA,4848,Grewis,Schmidt,,,,,,,"45,7",17
FRA,4500,Labrussi,Laugerotte,,,,,,,48,18
FRA,2186,Virot,Aubard,,,,,,,51,19
FRA,4368,Mc Gregor,Melle Ribaud,,,,,,,61,20
FRA,8,Guy Hédouin,Barrault,,,,,,,62,21
FRA,4806,Desmoulins,Maler,,,,,,,63,22
FRA,4139,Jacob-Antoine Lortat,Maillebrau,,,,,,,85,23
