Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
FRA,4884,Pierre Gadel,Georges Gadel,,1,1,1,1,1,2,,,1
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,,2
FRA,5010,Claude Fixot,Charly Hadfield,,,,,,,,,,3
FRA,4924,Jacques Amiot,Gilles Bisson,,,,,,,,,,4
FRA,3650,Bernard Paternault,Denis Guiomard,,,,,,,,,,5
FRA,4453,Fenouil,Angel,,,,,,,,,,6
FRA,4803,Guyot,Latrace,,,,,,,,,,7
FRA,4400,Leger,Leibovitch,,,,,,,,,,8
FRA,4707,Noël,Mme Noël,,,,,,,,,,9
FRA,3047,Thibault Di Pède,Anstatt,,,,,,,,,,10
FRA,4224,Vilain,Vincelet,,,,,,,,,,11
FRA,5024,Robert Comte,Doisneau,,,,,,,,,,12
FRA,4479,Le Gloahec,Thierry Moreau-Defarges,,,,,,,,,,13
FRA,4891,F. Souvestre,Paternault,,,,,,,,,,14
FRA,4329,Louvel,Petit,,,,,,,,,,15
FRA,2186,Virot,Hobard,,,,,,,,,,16
FRA,3199,Hertel,Hertel,,,,,,,,,,17
FRA,8,Guy Hédouin,Hédouin,,,,,,,,,,18
FRA,3716,Jamin,Dreslher,,,,,,,,,,19
FRA,2971,Ohayon,Duval,,,,,,,,,,20
FRA,4900,Serge Banel,Costa,,,,,,,,,,21
FRA,5013,Pierre Beauvais,Blasquize,,,,,,,,,,22
FRA,4307,Laly,Breha,,,,,,,,,,23
