Country,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Nett,Rank
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,CVP,1,2,10,1,,1
FRA,,P. Gadel,G. Gadel,,2,1,1,2,,2
FRA,,Herfort,Simoneau,,,,,,,3
FRA,,Gilbert Vinches,François Padovani,YCD,,,,,,4
FRA,,Pillon,Pillon,,,,,,,5
FRA,3650,Bernard Paternault,Denis Guiomard,,,,,,,6
FRA,,Claude Fixot,Hadfield,,,,,,,7
FRA,,Amiot,Bisson,,,,,,,8
FRA,,Bert,Lallemand,,,,,,,9
FRA,,Alain Doloy,Ehlinger,,,,,,,10
FRA,,Souvestre,Paternault,,,,,,,11
FRA,,Robert Leibovitch,,,,,,,,12
FRA,,Gaudry,Esnault,,,,,,,13
FRA,,Duhaud,Claude,,,,,,,14
FRA,,Lallemant,Parniere,,,,,,,15
FRA,,Beauvais,,,,,,,,16
FRA,,Noël,Mme Noël,,,,,,,17
FRA,,Brosse,Le Gentil,,,,,,,18
FRA,,Bisson,Denesy,,,,,,,19
FRA,,Coindreau,Dumay,,,,,,,20
FRA,,Wekstein,,,,,,,,21
FRA,,Baudin,Failland,,,,,,,22
FRA,,Foin,Farre,,,,,,,23
