Country,Boat Number,Helm,Crew,Club,Place,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,,Hampe,,,,,,,,,,,1
FRA,,Scurmann,,,,,,,,,,,2
GER,,Eswaldemm,,,,,,,,,,,3
GER,,Lambert,,,,,,,,,,,4
FRA,,Petershon,,,,,,,,,,,5
FRA,,Creton,,,,,,,,,,,6
FRA,3650,Bernard Paternault,Denis Guiomard,,,,,,,,,,7
FRA,5000,Claude Falempin,,,,,,,,,,,8
GER,,Schleurhoff,,,,,,,,,,,9
FRA,,Timal,,,,,,,,,,,10
,,,,,,,,,,,,,11
FRA,,Godefroy,,,,,,,,,,,12
,,,,,,,,,,,,,13
,,,,,,,,,,,,,14
,,,,,,,,,,,,,15
FRA,4356,Jacques Lefèvre,Michel Lefèvre,,,,,,,,,,16
,,,,,,,,,,,,,17
,,,,,,,,,,,,,18
,,,,,,,,,,,,,19
,,,,,,,,,,,,,20
,,,,,,,,,,,,,21
,,,,,,,,,,,,,22
,,,,,,,,,,,,,23
,,,,,,,,,,,,,24
,,,,,,,,,,,,,25
,,,,,,,,,,,,,26
,,,,,,,,,,,,,27
,,,,,,,,,,,,,28
,,,,,,,,,,,,,29
,,,,,,,,,,,,,30
