Country,Number,Helmsman,Crew,,Club,Points,Place
FRA,4639,Marcel Buffet,Rouger,,CVP,14,1
FRA,4992,de Chalvron,René Morch,,CVL,"17,1",2
FRA,5111,François Richard,Richard,,CNB,25,3
FRA,4660,Boillot,Leroux,,SRR,"41,7",4
FIN,4913,Brummer,Biaudet,,Finlandia,"47,7",5
FRA,5022,Buck,Buck,,YCIF,"51,7",6
FRA,4915,François Fischer,Jacques Chouraki,,CVP,"52,4",7
FRA,4869,Bert,Coindreau,,CVP,"61,7",8
FRA,4910,Roland Jouandeau,Grimbert,,CNVC,"69,7",9
FRA,4447,Bruce Hobday,Brassem,,SNS,81,10
