Country,Sail #,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Points,Position
FRA,4992,Th. de Chalvron,René Morch,CVL,1,4,1,,,"5,7",1
SUI,4911,Fehlmann,Pasche,CNM,3,,2,,,"13,7",2
FRA,4175,Moret,Morel,ASB,,3,3,,,"17,7",3
FRA,4815,Philippe Blanchard,Philippe Blanchard,ACAL,,,,,,24,4
SUI,4819,Lucien Keller,Edouard Kessi,CNM,,2,,,,25,5
FRA,4822,Jérôme Langlois,Philippe Sérane,CNC,,,4,,,"25,7",6
FRA,4978,Francis Doerenbecher,Aubin Doerenbecher,TCHR,2,,,,,29,7
FRA,4479,Le Gloahec,Joquel,CVL,,,,,,"30,4",8
SUI,4708,Charrot,Cardis,CNM,,1,,,,40,9
FRA,3549,Christian Maréchal,André Gerbet,CVC,,,,,,49,10
FRA,5187,Fehlmann,Fehlmann,CNM,,,,,,"49,7",11
SUI,4540,Cardis,Sautier,CNM,,,,,,50,12
FRA,1*,Brillolet,Girard,SRR,,,,,,51,13
FRA,5003,Pfaadt,Ziegelmeier,ACAL,,,,,,51,14
SUI,3*,Naville,Rinié,YCG,,,,,,53,15
FRA,5032,Bernard Reynier,François Dury,CNB,,,,,,58,16
FRA,4302,Gaillard,Peyramond,CVL,,,,,,67,17
FRA,2948,Gallinet,Gallinet,TFCL,,,,,,67,18
FRA,447,Bosle,Wantz,TYVG,,,,,,69,19
FRA,4323,Guillon,Guillon,CVL,,,,,,76,20
FRA,2490,Fromont,Malinvaud,CVL,,,,,,79,21
FRA,5068,Michon,Markt,YCM,,,,,,85,22
FRA,4710,Bandini,Fabre,CUMV,,,,,,89,23
