Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,5062,Jean-Pierre Bouvet,J.L. Mahe,CNBP,,,,,,,,3,1
FRA,4622,Chaplain,J. C. Bréard,SNO,,,,,,,,"5,7",2
FRA,5011,Judic,Judic,CNBP,,,,,,,,"8,7",3
FRA,4603,Jean Thobie,Patrick Nicolas,CNBP,,,,,,,,20,4
FRA,4904,Pierre Bretèche,Robin,SNO,,,,,,,,20,4
FRA,5150,Bruno Lévesque,Gilles Lévesque,SNO,,,,,,,,24,6
