Country,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Total,Place
FRA,4884,Gadel,Gadel,,,,,6,1
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,,,,10,2
FRA,4924,Amiot,Bisson,,,,,"17,1",3
FRA,4228,Gilbert Vinches,François Padovani,,,,,26,4
FRA,2845,Herfort,Mandoff,,,,,27,5
FRA,4869,Coindreau,Dumay,,,,,"38,4",6
FRA,3644,Niverd,Niverd,,,,,42,7
FRA,4970,Robert Leibovitch,Blasquiz,,,,,43,8
FRA,3650,Bernard Paternault,Denis Guiomard,,,,,43,9
FRA,4891,Souvestre,Cariot,,,,,46,10
FRA,5010,Fixot,Hadfield,,,,,"46,7",11
FRA,4803,Noizier,Albrieux,,,,,55,12
FRA,,Hamon,Venthenat,,,,,58,13
FRA,4667,Brosse,Le Gentil,,,,,60,14
FRA,4707,Noel,Noel,,,,,60,15
FRA,5013,Beauvais,Barataud,,,,,61,16
