Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,4639,Marcel Buffet,Pierre Coindreau,C.V.P.,,,,1,,,3,1
FRA,4654,Patrick Nicolas,Bujeau,C.N. La Baule,,,,3,,,"8,7",2
FRA,5079,Alain Doloy,Lazennec,C.V.P.,,,,4,,,"11,4",3
FRA,3650,Bernard Paternault,Denis Guiomard,C.Y.U.D.,,,,2,,,19,4
FRA,5010,Claude Fixot,Charly Hadfield,C.V.M.,,,,,,,28,5
FRA,4891,F. Souvestre,Palfer,C.V.M.,,,,,,,"31,7",6
FRA,,Dipde,Strasfugel,C.V.S.P.,,,,,,,"36,4",7
FRA,,Jacques Amiot,Gilles Bisson,Y.C.D.,,,,,,,38,8
FRA,,Duhau,Nicolas Vasseur,C.V.P.,,,,,,,"42,7",9
FRA,,Pillon,Vucansson,C.V.C.,,,,,,,45,10
FRA,,Weckstein,Henry,C.V.C.,,,,,,,53,11
FRA,,Henry,Aim,C.V.C.,,,,,,,55,12
FRA,,Besson,Doyen,C.V.S.A.,,,,,,,58,13
FRA,,Noël,Mme Noël,A.C.B.B.,,,,,,,60,14
