Country,Number,Helm,Crew,Club,,Points,Place
FRA,4639,Marcel Buffet,Alain Lallemént,CVP,,3,1
FRA,5079,Alain Doloy,Ehlinger,CVP,,6,2
FRA,4924,Jacques Amiot,Gilles Bisson,YCD,,"11,4",3
FRA,5010,Claude Fixot,Charly Hadfield,CVM,,"25,4",4
FRA,2845,Herfort,Mandoff,CVESQ,,"27,4",5
FRA,4228,Gilbert Vinches,François Padovani,YCD,,29,6
FRA,4910,Roland Jouandeau,Hedouin,CNVC,,33,7
FRA,3650,Bernard Paternault,Denis Guiomard,CYVD,,"35,7",8
FRA,3199,Hertel,Hertel,CVSP,,"38,7",9
FRA,5155,Richard Gaudry,Esnault,DSY,,45,10
FRA,4891,F. Souvestre,,CVM,,45,11
FRA,4399,Duhau,Claude,CVP,,50,12
FRA,4440,Virot,Aubard,CNB,,57,13
FRA,4707,Noël,Mme Noël,ACBB,,58,14
FRA,5200,Tixier,Tixier,CVSP,,58,15
FRA,3644,Niverd,Niverd,CYVD,,60,16
FRA,4710,Bandini,Fabre,CVMV,,62,17
