Country,Number,Helm,Crew,Club,,Points,Place
FRA,5150,Bruno Lévesque,Robin,SNO,,"14,4",1
FRA,4884,Pierre Gadel,Georges Gadel,CNVC,,21,2
FRA,4639,Marcel Buffet,Yvon Kergreis,CVP,,"21,7",3
FRA,4915,François Fischer,Jacques Chouraki,CVP,,25,4
FRA,4904,Pierre Bretèche,Le Soudeer,SNO,,"43,1",5
FRA,4228,Gilbert Vinches,François Padovani,YCD,,"45,7",6
FRA,5062,Jean-Pierre Bouvet,Jean Thobie,CNBP,,"66,7",7
FRA,4622,Chaplain,J. C. Bréard,SNO,,"75,4",8
FRA,3694,Lévesque,Lallemand,SNO,,"77,5",9
FRA,4603,Lepage,Lepage,SNO,,79,10
FRA,5151,Dominique Savelli,François-Bernard Savelli,ANCRE,,"80,5",11
FRA,4390,Michel Grossain,Halgand,SNO,,88,12
FRA,4970,Robert Leibovitch,Blasquiz,CNVC,,88,13
FRA,4666,Blanchard,Jacques Baptiste Lebrun,CVP,,97,14
FRA,4869,Pierre Coindreau,Dumay,CVP,,98,15
FRA,3327,Vignault,Lemarchand,ANCRE,,100,16
FRA,4664,Boudier,Mme Boudier,CVP,,118,17
FRA,4748,Alain Preel,Patrick Conard,CVP,,118,18
FRA,5150,Vest,Jensen (Danois),,,121,19
FRA,4332,Drianno,Patrick Ricci,SNO,,121,20
