Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,4992,Th. de Chalvron,René Morch,,,,,,,,"8,7",1
FRA,4822,Jérôme Langlois,Philippe Sérane,,,,,,,,"31,4",2
FRA,4459,Bernard Claudel,Alain Claudel,,,,,,,,"31,7",3
FRA,4479,Le Glohaec,Joquel,,,,,,,,33,4
FRA,4680,Callamand,Bizouard,,,,,,,,"48,7",5
FRA,3949,Fenouil,Angel,,,,,,,,49,6
FRA,5111,François Richard,Richard,,,,,,,,"49,7",7
FRA,5032,Bernard Reynier,François Dury,,,,,,,,"52,7",8
FRA,4175,Chovelon,Maurel,,,,,,,,"55,7",9
FRA,5069,Richard Bongiorno,de Colombel,,,,,,,,62,10
FRA,4323,Guillon,Guillon,,,,,,,,62,11
FRA,5068,Michon,Markt,,,,,,,,69,12
FRA,3121,Braunte,Dechi,,,,,,,,83,13
