Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Boat Name,Points Total,Points,Place
FRA,4808,Yves Pajot,Marc Pajot,,,,,,,13,1
FRA,5001,Jean-Marie Daniélou,Jean-Charles Gillet,,,,1,,,16,2
FRA,4639,Jérôme Langlois,Philippe Sérane,,,,,,,30,3
FRA,4822,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,33,4
FRA,5150,Bruno Lévesque,Michel Guezou,,,,,,,"49,7",5
FRA,4915,François Fischer,Jacques Chouraki,,,,,,,"52,4",6
LUX,4660,Mikko Brummer,Rudi Biaudet,,,,,,,"54,7",7
FRA,4884,Pierre Gadel,Georges Gadel,,,,,,,55,8
FRA,4459,Bernard Claudel,Alain Claudel,,,,,,,"56,7",9
FRA,4404,Boyer,Forestier,,,,,,,"59,7",10
FRA,3694,Lévesque,Lallemand,,,,,,,70,11
FRA,4199,Jacques Collaert,Yves Moreau-Defarges,,,,,,,71,12
FRA,4703,Léon Brillouet,Marais,,,,,,,73,13
GBR,4450,Peter White,John Davies,,,,,,,"75,4",14
FRA,5151,Dominique Savelli,François-Bernard Savelli,,,,,,,80,15
FRA,3535,Cassou,Kergreis,,,,,,,83,16
FRA,4654,Patrick Nicolas,Bugeau,,,,,,,87,17
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,95,18
FRA,5111,François Richard,Richard,,,,,,,100,19
FRA,4603,Jean Thobie,Patrick Ricci,,,,,,,100,20
SUI,4911,Fehlmann,Pasche,,,,,,,104,21
FRA,4913,Christian Boillot,Alain de Roux,,,,,,,104,22
FRA,5062,Jean-Pierre Bouvet,J.L. Mahe,,,,,,,"106,7",23
FRA,4332,Drianno,Robin,,,,,,,109,24
SUI,4819,Lucien Keller,Edouard Kessi,,,,,,,110,25
SUI,5055,Walt,Quellet,,,,,,,116,26
FRA,5022,Philippe Buck,Gilles Buck,,,,,,,124,27
FRA,4453,Fenouil,Angel,,,,,,,126,28
FRA,4850,Galleano,Crescence,,,,,,,129,29
FRA,4924,Jacques Amiot,Gilles Bisson,,,,,,,135,30
FRA,4869,Bert,Pierre Coindreau,,,,,,,136,31
FRA,4946,Patrick Oeuvrard,Mageux,,,,,,,"140,7",32
FRA,4800,Mesmin,Tande,,,,,,,144,33
FRA,4970,Robert Leibovitch,Duhau,,,,,,,144,34
FRA,5024,Robert Comte,Bonnel,,,,,,,144,35
FRA,4242,Raguet,Demade,,,,,,,144,36
FRA,4224,Villain,Penaud,,,,,,,145,37
FRA,4312,Gaillard,Peyramond,,,,,,,156,38
FRA,4390,Michel Grossain,Halgand,,,,,,,157,39
FRA,4701,Hughes Lecerf,Gueulette,,,,,,,162,40
GBR,5040,White,Michael Nott,,,,,,,163,41
FRA,3153,Galet,Galet,,,,,,,177,42
SUI,116*,Rilliet,Urban,,,,,,,180,43
FRA,5156,Christian Hauvette,Philippe Craplet,,,,,,,215,50
FRA,4710,Bandini,Fabre,,,,,,,235,51
FIN,5057,Fogelholm,Andersson,,,,,,,250,52
FRA,4122,Serge Guillaume,Parker,,,,,,,260,53
FRA,,Doloy,Lazennec,,,,,,,260,54
FRA,3663,Courtois,Simonneau,,,,,,,260,55
FRA,5033,Jacques Armengaud,Philippe Hoffmann,,,,,,,260,56
FRA,4447,Bruce Hobday,,,,,,,,260,57
FRA,5013,Pierre Beauvais,Rouger,,,,,,,260,58
