Country,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Nett,Rank
FRA,,Patrick Nicolas,,,,,,,,1
FRA,,Fixot-Charlie Hadfield,,,,,,,,2
FRA,,Roland Jouandeau,,,,,,,,3
,,,,,,,,,,4
,,,,,,,,,,5
,,,,,,,,,,6
,,,,,,,,,,7
,,,,,,,,,,8
,,,,,,,,,,9
,,,,,,,,,,10
,,,,,,,,,,11
,,,,,,,,,,12
,,,,,,,,,,13
,,,,,,,,,,14
,,,,,,,,,,15
,,,,,,,,,,16
,,,,,,,,,,17
,,,,,,,,,,18
,,,,,,,,,,19
,,,,,,,,,,20
,,,,,,,,,,21
,,,,,,,,,,22
,,,,,,,,,,23
,,,,,,,,,,24
,,,,,,,,,,25
,,,,,,,,,,26
,,,,,,,,,,27
,,,,,,,,,,28
,,,,,,,,,,29
,,,,,,,,,,30
,,,,,,,,,,31
