Country,Boat NO,Helm,Crew,Club,,Points,Position
FRA,3650,Bernard Paternault,Denis Guiomard,CYVD,,161,1
FRA,3851,Amiot,Bisson,YCD,,146,2
FRA,,Gilbert Vinches,François Padovani,YCD,,139,3
FRA,,Claude Fixot,Hadfield,CVM,,135,4
FRA,,Herfort,Mandoff,CVESQ,,111,5
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,CVP,,101,6
FRA,,Niverd,Niverd,CYVD,,99,7
FRA,,Souvestre,Palfer,CVM,,93,8
FRA,,Noël,Noël,ACBB,,88,9
FRA,,Beauvais,Blasquize,CNVC,,86,10
FRA,,Alain Doloy,Lazennec,CVP,,84,11
FRA,,P. Gadel,G. Gadel,CNVC,,72,12
FRA,,Hedouin,Hedouin,CNVC,,62,13
FRA,,Taillandier,Blondet,YCP,,62,13
FRA,,Duhau,Desmoulins,CVP,,60,15
FRA,,Guyot,Latrace,CVP,,59,16
FRA,,Robert Leibovitch,,CNVC,,54,17
FRA,,Roland Jouandeau,Antier,CNVC,,52,18
FRA,,Grecourt,Grecourt,,,40,19
FRA,,Jamin,Dreslher,CVP,,40,19
FRA,,Virot,Hobard,CNVC,,40,19
FRA,,Coindreau,Dumay,CVP,,35,25
FRA,,Fenouil,Angel,CNVC,,29,26
FRA,,Buck,Buck,YCIF,,27,29
FRA,,Champion,Amirkamian,CVESQ,,27,29
FRA,,Meertens,Meertens,CVESQ,,27,29
FRA,,Brosse,Le Gentil,CVP,,27,29
FRA,,Léopold Leger,Robert Leibovitch,CNVC,,25,33
FRA,,Comte,Doisneau,YCP,,23,36
FRA,,Hertel,Hertel,CVSP,,22,37
FRA,,Gaudri,Hessnot,CNVC,,21,38
FRA,,Banel,Costa,CVP,,20,40
FRA,,Thibault Di Pede,Anstatt,Dassault,,20,40
FRA,,Desmoulins,Maller,CVP,,20,40
FRA,,Louvel,Petit,,,20,40
FRA,,Privat,Louisnard,CVESQ,,20,40
FRA,,Tixier,Tixier,CVSP,,20,40
