Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place,
FRA,3650,Paternault,Guiomard,,,,,,,9,1
FRA,5376,Hamon,Legond,,,,,,,"11,4",2
FRA,5349,Duhau,Dunand,,,,,,,21,3
FRA,4329,Maresquet,Lambert,,,,,,,"34,7",4
FRA,5500,Pascal,Simoneau,,,,,,,"36,7",5
FRA,4891,Souvestre,Cariot,,,,,,,"37,4",6
FRA,5150,Guyot,Noizier,,,,,,,39,7
FRA,2771,Souloumiac,Turqueti,,,,,,,40,8
FRA,4368,Mc Gregor,Riraut,,,,,,,41,9
FRA,4700,Fountaine,Leclercq,,,,,,,41,10
FRA,2492,Drivat,Louisnard,,,,,,,"42,7",11
FRA,4879,Champion,Amirkhanian,,,,,,,"46,7",12
FRA,5246,Westphal,Richard,,,,,,,50,13
FRA,4664,Boudier,Mme Boudier,,,,,,,55,14
FRA,3915,Durand,Lelorvel,,,,,,,56,15
FRA,3100,Chabot,Swiatopolk,,,,,,,60,16
FRA,1737,Bezuel,Hartmann,,,,,,,67,17
FRA,2845,Permal,Bemetrau,,,,,,,68,18
FRA,2349,Anstett,Blanchet,,,,,,,70,19
FRA,2579,Pelissier,Pelissier,,,,,,,74,20
FRA,2489,Beau,Beau,,,,,,,79,21
