Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,,,0,1
FRA,5150,Bruno Lévesque,Michel Guezou,,,,,,,,,32,2
FRA,5079,Alain Doloy,Lazennec,,,,,,,,,"40,7",3
FRA,4915,François Fischer,Jacques Chouraki,,,,,,,,,45,4
FRA,4913,Christian Boillot,Leroux,,,,,,,,,48,5
FRA,3535,Cassou,Kergreiss,,,,,,,,,"51,7",6
FRA,5062,Jean-Pierre Bouvet,J.L. Mahe,,,,,,,,,"54,7",7
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,"55,7",8
FRA,4800,Mesmin,Tande,,,,,,,,,57,9
FRA,5151,Dominique Savelli,François-Bernard Savelli,,,,,,,,,74,10
FRA,3438,Turquem,Frappier,,,,,,,,,76,11
FRA,4399,Duhau,Hadfield,,,,,,,,,77,12
FRA,4904,Pierre Bretèche,Robin,,,,,,,,,82,13
FRA,3694,Antoine Lévesque,Alain Lalleménd,,,,,,,,,84,14
FRA,5023,Pillon,Baffert,,,,,,,,,88,15
FRA,353*,Conan,Jestin,,,,,,,,,94,16
FRA,4970,Robert Leibovitch,Amiot,,,,,,,,,95,17
FRA,4701,Hughes Lecerf,Gueulette,,,,,,,,,98,18
FRA,4654,Patrick Nicolas,Chaplain,,,,,,,,,100,19
FRA,4622,Chaplain,Lemeillet,,,,,,,,,"101,7",20
FRA,4139,Jacob-Antoine Lortat,Maillebiau,,,,,,,,,102,21
FRA,3644,Niverd,Niverd,,,,,,,,,111,22
FRA,5122,Casset,Lemarchand,,,,,,,,,119,23
FRA,4045,Tanguy,Tanguy,,,,,,,,,119,23
