Nation,Sail,# Skipper,Crew Fin,Club,R1,R2,R3,R4,R5,R6,R7,R8,Brutto,Discard,Netto,Place
,8792,Carol Buchan,Carl Buchan,,2*,1,2,1,1,1,1,1,10,2,8,1
,8192,Phil Cragg,Reto Corfu,,1,3,4,2,5,8*,2,2,27,8,19,2
,8831,Lee Laney,Paul Von Grey,,3,2,3,6*,4,2,3,3,26,6,20,3
,8868,Piper Dunlap,Dan Ginther,,5,4,5,7*,2,7,6,4,40,7,33,4
,7353,John Hayley,Ian Plumbley,,4,8*,6,4,3,6,4,7,42,8,34,5
,8866,Cynthia Des Brisay,Charles Hansen,,9,5,12*,3,6,3,5,5,48,12,36,6
,8453,Terry Thomas,Tom Burnard,,8,6,11*,9,9,5,7,6,61,11,50,7
,8068,Adam Gooderham,Alec Francis,,6,10,1,8,11*,9,10,9,64,11,53,8
CAN,8755,Brian Trainor,Evan Jennings,,15 DNF*,12,7,5,8,4,8,10,69,15,54,9
,7206,Anne Fitzpatrick,Christian Pittack,,7,9,8,12*,10,10,11,8,75,12,63,10
,6808,Cody Kowalski,Sugar Flanagan,,10,11,9,10,7,11,9,13*,80,13,67,11
,7039,Bob Conrad,Ryan Welgaz,,12,13,13*,11,13,13,13,12,100,13,87,12
,8435,Patrick McGale,Sean Rankins,,15 DNS*,14,14,13,12,12,12,11,103,15,88,13
,7111,Dave Phillips,Mark Phillips,,15 DNS*,7,10,15 DNS,15 DNS,15 DNS,15 DNS,15 DNS,107,15,92,14
