Nationality,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
POL,9233,Tomasz Brzozowski,Paweł Choroba,,1,1,1,2*,3,1
POL,9170,Karol Milewski,Bartosz Milewski,,4*,3,3,1,7,2
POL,9132,Przemek Zagórski,Michał Olko,YK STAL GDYNIA,2,2,8*,4,8,3
POL,9119,Mateusz Jura,Bartosz Chroł,,7*,4,2,3,9,4
POL,8875,Dariusz Konopczak,Paweł Henszke,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,3,8,6,9*,17,5
POL,8802,Dominik Ostrowski,Stefan Romanik,SWOS Warszawa/KS Spójnia Warszawa,5,7*,7,6,18,6
POL,8747,Anna Jabłońska,Andrzej Zdrojek,,8*,6,5,7,18,7
POL,8665,Marcin Panek,Jakub Grabowski,JK KRYNICA MORSKA,6,10*,9,5,20,8
POL,9149,Szymon Szymik,Adam Kominek,,12*,5,4,12,21,9
POL,8769,Michał Ruciński,Bartosz Sadowski,Pronaw AKM Gdańsk,9,11*,10,8,27,10
POL,8770,Rafał Milczarczyk,Jakub Gąsiorowski,MKŻ Arka Gdynia/Yacht Klub Stal Gdynia,14*,9,14,11,34,11
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,10,13,13,15*,36,12
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,,11,14*,12,13,36,13
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,17*,16,11,10,37,14
POL,8145,Mateusz Byrski,Aleksandra Gill,,18*,12,15,14,41,15
POL,8212,Barbara Terpiłowska,Jacek Terpiłowski,UKS NAVIGO Sopot,13,17*,16,17,46,16
POL,8634,Kacper Kaczmarek,Michał Prończuk,ORGANIZACJA ŚRODOWISKOWA AZS W POZNANIU,15,15,17*,16,46,17
POL,8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,16,19*,18,18,52,18
POL,7820,Marcin O. Pietrzak,Marcin Pietrzak,"MKS ""Dwójka"" Warszawa",DNF*,18,19,DNF,58,19
POL,8359,Zbisław Lasek,Jakub Meduna,,DNS*,20,DNF,DNF,62,20
