Nation,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Place
GER,9182,Alexander Holzapfel,Finn Boeger,Post- Sportverein Kobelenz,1,1,1,1,1,1,2,1,(25 DNF),34,9,1
POL,9020,Jakub Pawluk,Marcin Józefowski,Legia Warszawa - Sailing Legia,2,2,4,2,6,-8,4,4,3,35,27,2
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW/ SKBUe,3,3,2,11,-14,2,1,7,2,45,31,3
POL,9119,Mateusz Jura,Bartosz Chroł,PSK 505,5,6,7,-14,3,10,5,2,7,59,45,4
POL,9170,Karol Milewski,Bartosz Milewski,YK Stal Gdynia,4,4,5,5,-11,7,11,8,4,59,48,5
POL,8736,Jan Sibilski,Andrzej Borowiak,ZLKS Kiekrz,10,(25 DNF),10,3,8,3,7,11,5,82,57,6
POL,8875,Dariusz Konopczak,Pawel Henszke,Centrum Zeglarskie Szczecin,7,8,11,8,-13,11,6,3,6,73,60,7
POL,9149,Marek Chocian,Adam Kominek,YKP Gdynia,6,7,3,(25 DNF),5,6,9,13,16,90,65,8
POL,8812,Sławomir Plichta,Szymon Kabała,YK Stal Gdynia,(25 DNF),14,25 DNF,4,4,5,8,5,11,101,76,9
POL,9132,Przemyslaw Zagorski,Michal Olko,Yacht Klub Stal Gdynia,(25 DNF),11,6,10,7,4,13,12,25 DNF,113,88,10
POL,8802,Dominik Ostrowski,Stefan Romanik,SWOS Warszawa,11,10,(25 DNF),17,12,9,12,10,9,115,90,11
GER,9113,Joseph Schuette,Karsten Stumpel,Kieler Yacht,8,(25 DNF),25 DNF,7,2,25 UFD,3,25 NSC,1,121,96,12
POL,8665,Marcin Panek,Jakub Grabowski,PSK 505,(25 DNF),9,25 DNF,12,10,12,10,9,12,124,99,13
POL,8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,(25 DNF),12,9,13,18,17,16,14,10,134,109,14
POL,7237,Pawel Kluczynski,Wladyslaw Kondej,OS AZS Poznan,(25 DNF),13,12,6,16,16,19,20,17,144,119,15
POL,866*,Ewa Szyfter,Aleksandra Gill,AZS Poznan,(25 DNF),15,14,9,17,14,23,25 UFD,15,157,132,16
POL,8437,Jakub Jankowski,Jan Siekierzynski,SWOS,(25 DNF),25 DNF,15,16,25 UFD,25 UFD,14,6,8,159,134,17
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,Centrum Zeglarskie Szczecin,9,5,8,(25 DNF),25 DNF,25 DNF,25 DNF,25 DNF,25 DNF,172,147,18
POL,8906,Tomasz Polikowski,Adam Najmowicz,Stal Gdynia,(25 DNF),25 DNF,13,21,22,18,18,19,14,175,150,19
POL,9233,Tomasz Brzozowski,Pawel Choroba,KZ HORN Kraków,(25 DNF),25 DNF,25 DNF,15,15,15,15,15,25 DNF,175,150,20
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Stal Gdynia,(25 DNF),25 DNF,25 DNF,19,9,13,22,17,25 DNF,180,155,21
POL,8028,Anna Zabłocka,Jedrzej Bering,Centrum Zegarskie,(25 DNF),25 DNF,25 DNF,25 DNF,20,20,17,18,13,188,163,22
POL,8747,Marcin Puchniarz,Andrzej Zdrojek,niezrzeszony,(25 DNF),25 DNF,25,18,21,19,21,16,25 DNF,195,170,23
POL,8634,Kacper Kaczmarek,Michał Prończuk,OS AZS Poznan,(25 DNF),25 DNF,25 DNF,20,19,25 UFD,20,25 DNF,25 DNF,209,184,24
