Nation,Boat NO,Helm,Crew,Club,R1,Suma,Place
POL,9233,Tomasz Brzozowski,Paweł Choroba,KŻ Horn Kraków,1,1,1
POL,9132,Przemek Zagórski,Michał Olko,YK STAL GDYNIA,2,2,2
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,3,3,3
POL,9119,Mateusz Jura,Bartosz Chroł,,4,4,4
POL,9170,Karol Milewski,Jan Siekierzyński,,5,5,5
POL,8769,Szymon Szymik,Adam Kominek,,6,6,6
POL,8665,Marcin Panek,Jakub Grabowski,,7,7,7
POL,8483,Mariusz Michalski,Piotr Duma,,8,8,8
POL,8770,Jakub Gąsiorowski,Karolina Gasiorowska,YK STAL GDYNIA,9,9,9
POL,8634,Kacper Kaczmarek,Michał Prończuk,ORGANIZACJA ŚRODOWISKOWA AZS W POZNANIU,10,10,10
POL,8875,Dariusz Konopczak,Pawel Henszke,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,11,11,11
POL,8906,Tomasz Polikowski,Adam Najmowicz,,12,12,12
POL,8145,Mateusz Byrski,Aleksandra Gill,UKS NAVIGO Sopot,13,13,13
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK STAL GDYNIA,14,14,14
POL,8747,Anna Jabłońska,Andrzej Zdrojek,,15,15,15
POL,8582,Jakub Kozanko,Michał Wdówka,,DNS 18,18,16
POL,8802,Dominik Ostrowski,Stefan Romanik,,OCS 18,18,16
