Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
GBR,9215,Roger Gilbert,Ian Mitchell,HISC,1,1,1,[2],,5,3,1
GBR,9246,Michael Sims,Carl Gibbon,Buryon,[4],2,2,3,,11,7,2
GBR,9232,Rob Gullan,Paul Childs,HISC,2,7,3,[21 DNC],,33,12,3
GBR,8935,Craig Burlton,Richard Anderton,RSYC,[8],4,5,5,,22,14,4
GBR,9274,Paul Brotherton,James Fawcett,Etherow country Park,3,11,[21 DNC],1,,36,15,5
GBR,9039,Ben McGrane,James Ross,HISC/Netley SC,[9],5,7,4,,25,16,6
GBR,9247,Mike Punnett,Alex Davies,PCYC,6,3,[10],8,,27,17,7
GBR,9246R*,Harvey Hillary,Archie Massey,ISC,5,8,4,[21 DNC],,38,17,8
GBR,9214,Andy Smith,Jonny Mildred,Northampton SC,[13],6,8,6,,33,20,9
GBR,9104,Andrew Wilde,Harry Briddon,Ogston SC,[11],10,6,7,,34,23,10
GBR,9177,Tom Jeffcoate,Tim Hartley,chew valley,10,9,9,[21 DNC],,49,28,11
GBR,8991,Nicholas Meadow,Scott Dawson,Warsash SC,7,[21 DNF],21 DNC,21 DNC,,70,49,12
GBR,9238,Chris Turner,Colin Parke,HISC,16,12,[21 DNC],21 DNC,,70,49,13
GBR,9253,Peter Colclough,Alister Morley,Salcombe YC,12,[21 DNC],21 DNC,21 DNC,,75,54,14
GBR,8511,Steve Culpitt,Mark Nicholson,HISC,14,[21 DNF],21 DNC,21 DNC,,77,56,15
GBR,8857,Andy Carter,Keith Summersgill,Leigh and Lowton,15,[21 DNC],21 DNC,21 DNC,,78,57,16
GBR,8749,Keith McQuillin,John Driscoll,Spinnaker,17,[21 DNC],21 DNC,21 DNC,,80,59,17
GBR,8423,Stuart Doe,Phill Newsom,Thorney,[21 DNF],21 DNC,21 DNC,21 DNC,,84,63,18
GBR,8514,Ben Townsend,Ed Richardson,Emsworth Sailing Club,[21 DNF],21 DNF,21 DNC,21 DNC,,84,63,18
GBR,9168,Miles Odell,Richard Nurse,Hisc/NSC,[21 DNC],21 DNC,21 DNC,21 DNC,,84,63,18
