Nat,SailNo,HelmName,Crew,Club,R1,R2,R3,R4,Total,Nett,Rank
SWE,8974,Malin Broberg,Johan Röök,LESS,(3.0),1.0,1.0,1.0,6.0,3.0,1st
SWE,8651,Peter Andersson,Per-Eric Thörnström,SSVÄ,1.0,(3.0),2.0,2.0,8.0,5.0,2nd
SWE,8945,Tord Lawner,Johan Calvert,BKSS,2.0,4.0,(5.0),3.0,14.0,9.0,3rd
SWE,9038,Lars Bjerke,Tore Reinhold,BKSS,4.0,2.0,3.0,(6.0),15.0,9.0,4th
SWE,8412,Robin Eliasson,Olof Bengtsson,Varbergs Segelsällskap,(6.0),5.0,4.0,5.0,20.0,14.0,5th
SWE,8837,Petter Norrgren,Anders Hellekant,Halmstad Segelsällskap,5.0,(6.0),6.0,4.0,21.0,15.0,6th
SWE,8585,Patrik Ekberg,Joakim S,MKSK,7.0,7.0,(9.0 DNC),9.0 DNC,32.0,23.0,7th
SWE,8873,Malin Vångfors,Daniel Lundahl,BKSS,(9.0 DNC),9.0 DNC,9.0 DNC,9.0 DNC,36.0,27.0,8th
