Nation,Sail #,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Total,Nett,place
,8714,Mike Martin,Jeffrey Nelson,,(8),2,2,3,1,3,3,2,1,1,3,(9),3,4,45,28,1
USA,8081,Nick Adamson,Stephen Bourdow,,1,3,1,(7),2,1,5,6,5,(33 DNF),4,1,2,3,74,34,2
USA,8878,Howard Hamlin,Peter Alarie,,3,4,3,2,(8),2,6,1,2,2,2,(17),5,5,62,37,3
,8815,Dalton Bergan,Fritz Lanzinger,,5,6,7,8,(33 DNF),4,1,3,(14),5,1,7,1,1,96,49,4
USA,8822,Mike Holt,Ben Benjamin,,2,1,4,5,3,13,2,9,(22),3,10,4,15,(19),112,71,5
USA,8554,Doug Hagan,Rob Woelfel,,6,5,8,4,5,5,4,5,9,(33 DNF),6,(24),8,13,135,78,6
USA,8660,G Macy Nelson,Parry Barclay,,10,10,(19),9,6,6,9,10,12,9,(17),3,13,2,135,99,7
,7069,Adam Lowry,David Byron,,17,7,9,1,4,15,(33 DNC),12,3,4,(18),12,9,15,159,108,8
,7875,Jeff Miller,Mike Smith,,4,13,5,15,7,7,12,(19),4,6,(20),14,17,8,151,112,9
USA,8830,Ramsay Key,Andrew Buttner,,(22),(33 DNF),12,6,21,8,7,4,20,10,5,5,10,6,169,114,10
USA,8012,Henry Amthor,Adam Schell,,7,8,(17),10,(16),9,15,15,7,7,7,15,11,14,158,125,11
,8919,Tom Gosch,Douglas McKeigh,,16,11,(24),(20),11,12,13,7,16,12,16,11,4,7,180,136,12
USA,8831,Paul Vongrey,Pierre Jeangirard,,9,15,6,19,17,14,8,13,19,(33 DNF),8,13,7,(23),204,148,13
,8823,Mats Elf,Jon Henderson,,(33 DNF),(33 DNC),10,11,33 DNF,11,10,8,6,13,21,6,12,9,216,150,14
,8558,Angus Brackett,Colin Orsini,,(33 DNF),(33 DNC),13,16,19,16,11,11,17,8,9,8,14,10,218,152,15
USA,7156,Aaron Ross,Rob Waterman,,13,9,16,17,10,(26),(18),17,8,14,14,18,16,16,212,168,16
CAN,8264,Jeff Boyd,Stephen Adolph,,11,(33 DNF),11,13,9,(33 DNF),26,33 DNF,11,19,11,2,18,12,242,176,17
CAN,8192,Philip Cragg,Reto Corfu,,20,14,14,21,12,17,(23),16,13,11,15,16,(33 RAF),11,236,180,18
,8824,Jen Morgan Glass,Benjamin Glass,,12,18,15,14,(20),19,(20),14,10,18,19,19,6,18,222,182,19
,7873,Mark Dowdy,Jason Bright,,18,12,18,12,18,21,21,20,21,15,(27),23,(26),20,272,219,20
,7153,Lee Laney,Blaine Pedlow,,15,(33 DNF),21,22,13,20,16,18,15,17,(24),22,23,22,281,224,21
,7346,Evan Thompson,Craig Thompson,,(33 DNC),(33 DNC),26,18,15,24,22,23,23,22,23,10,21,17,310,244,22
,8821,Katherine Long,Stephen Long,,(33 DNF),(33 DNC),23,24,22,25,25,24,25,20,12,20,25,24,335,269,23
USA,8904,Hubert Guy,Philip Toth,,19,17,(33 DNF),(33 DNF),27,10,27,21,26,23,25,27,22,28,338,272,24
,8829,Eben Russell,Matthias Kennerknecht,,(33 DNF),(33 DNC),33 DNF,25,14,22,14,25,18,16,28,33 DNF,19,27,340,274,25
,7611,J B Turney,Ned Turney,,(33 DNF),(33 DNC),20,23,33 DNF,23,17,33 DNF,33 DNF,21,13,21,20,21,344,278,26
,8763,Andrew Schmidt,Charles Asper,,14,16,(33 DNC),26,24,18,(33 DNF),33 DNC,24,33 DNF,26,28,27,25,360,294,27
,8939,John Wyles,Michael Renda,,(33 DNF),(33 DNF),33 DNF,28,26,28,19,22,33 DNF,33 DNC,22,25,24,26,385,319,28
,8453,Stuart Sinclair,Peter Tuck,,21,(33 DNF),22,27,23,27,24,26,(33 DNF),33 DNF,29,26,33 DNF,33 DNC,390,324,29
,831,Charlie Dore,Christian Pittack,,(33 DNF),19,25,29,25,29,28,27,(33 DNC),33 DNC,33 DNF,33 DNC,33 DNC,33 DNC,413,347,30
,868,Erik Coburn,Piper Dunlap,,(33 DNF),(33 DNC),33 DNF,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,462,396,31
,8617,Paul Pihl, ,,(33 DNC),(33 DNC),33 DNC,33 DNC,33 DNC,33 DNF,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,33 DNC,462,396,31
