Nation,Sail No,Skipper,,,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Rank
USA,8831,paul von grey,,,2,3*,1,2,2,1,3,1,1,13,1
CAN,7610,Cynthia Des Brisay,,,3*,1,2,1,1,3,2,3,3,16,2
USA,8192,Reto Corfu,,,1,2,3,*,5,2,1,2,2,18,3
USA,8647,Hank Henry,,,6,7,5,3,4,5,5,7*,7,42,4
USA,8577,Bruce Van Deventer,,,5,4,4,5,3,DNF9*,7,8,DNC8,44,5
USA,8755,Brian Trainor,,,8*,6,7,7,7,6,8,4,6,51,6
USA,8617,Craig Cammock,,,4,5,8,4,6,8,DNS9*,DNC9,DNC8,52,7
USA,6808,Anthony DeVita,,,DNC9*,DNC9,DNC9,DNC9,DNC9,4,4,5,4,53,8
USA,7096,Dan Ginther,,,7,8*,6,8,8,7,6,6,5,53,9
