Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Rank
SUI,8441,Markus Bohren,Rogher Fischer,,1,3,7,2,1,1,DNS,21.7,1
DEN,8620,Damsgaard,Overbeck,,7,5,1,3,5,4,3,39.4,2
GBR,8464,Carveth,Ian Mitchell,,2,4,2,4,3,21,16,49.7,3
GER,8550,Dietrich Scheder-Bieschin,Stammerjohan,,5,1,3,9,10,7,DSQ,59.7,4
DEN,8082,Christiansen,Langendorf,,8,8,5,7,6,6,2,63.4,5
GER,8621,Filimonov,Stöckmann,,15,14,4,10,2,11,1,64,6
SUI,8569,Betschen,Jacot,,6,7,8,1,13,9,14,72.7,7
DEN,8476,Saugmann,Ramsbek,,3,12,10,8,9,5,17,78.7,8
SUI,8016,De Cerjat,Moeckli,,4,20,13,12,4,3,21,84.7,9
GER,8623,Böhm,Roos,,10,9,11,6,16,8,8,87.7,10
SUI,8459,Marti Ueli,Waser,,11,11,32,14,7,2,33,108,11
GER,8633,Hartwig,Stöckl,,13,10,18,15,19,15,22,126,12
SUI,8544,Renker,Wernli,,17,6,23,DNC,24,22,5,131.7,13
DEN,8405,Klaus Natorp,Orsted-Hansen,,23,15,28,16,25,10,7,132,14
DEN,8330,Espersen,Rohde,,18,25,12,5,18,DNC,23,136,15
DEN,8579,Bojland,Christiani,,12,DSQ,17,11,20,29,13,138,16
GER,8531,Hatje,Theuerkauf,,16,21,22,28,26,13,6,139.7,17
SUI,8426,Plüss,Dürr,,14,2,27,19,22,26,26,140,18
GER,8392,Seikel,Becker,,22,31,6,21,28,14,15,141.7,19
GER,8388,Kellner,Achterberg,,9,13,DSQ,PMS,8,19,11,146,20
GER,8517,Völckner,Dehne,,21,27,16,17,15,24,24,153,21
DEN,8056,Adam Malling,Hartwig,,25,19,21,23,14,16,DSQ,154,22
GER,8279,Thumann,Weichel,,20,24,19,20,29,12,25,156,23
SUI,8543,Bart,Senn,,DSQ,17,15,13,12,20,DSQ,163,24
SUI,8486,Zund,Rotach,,28,22,9,24,30,17,34,166,25
FRA,8372,Gallo,Toupet,,26,16,24,25,17,23,30,167,26
GER,8575,Meyer,Meyer,,24,32,14,27,36,31,10,174,27
GER,8518,Schollmayer,Sanguino-Petersen,,19,30,33,22,21,18,DSQ,179,28
GER,8108,Dickhoff,Jens Wilke,,27,36,31,DNC,23,28,9,190,29
FRA,8382,Eric Petit,Richard Lefevre,,29,28,20,18,11,DNF,DSQ,192,30
DEN,8565,Olsen,Petersen,,30,18,35,32,37,25,19,195,31
GER,8054,Michels,Schmidt,,DNF,23,38,29,27,27,28,208,32
GER,8519,Sebastian Dörr,Christian Dörr,,DNF,35,30,26,38,33,12,210,33
SUI,8345,Haitz,Schultheiss,,31,26,25,30,35,30,DSQ,213,34
BEL,8553,Gorremans,Gorremans,,36,39,42,37,31,39,4,220,35
FIN,7784,Held,Laiho,,33,40,26,35,32,42,18,220,36
DEN,8581,Sogard,Barlebo,,35,29,34,DNC,34,38,32,238,37
FRA,8455,Buffet,Trouillet,,32,33,29,34,DNF,36,DSQ,250,38
FRA,8294,Lucienne,Millet,,39,37,37,31,DNC,37,35,252,39
SUI,8440,Urs Scherrer,Peter Schmidle,,38,DSQ,41,33,33,34,DSQ,265,40
SUI,8492,Hans-Jörg Spiess,Ineichen,,42,DNF,44,38,39,40,29,268,41
GER,8204,Ronald Roos,Kirsten Roos,,44,44,46,39,41,35,31,270,42
FRA,8103,Zucconi,Legoff,,34,45,39,36,DNF,32,DSQ,272,43
SUI,8003,Mösli,Alex Wyss,,45,41,43,DNF,42,41,27,275,44
SUI,7953,Zaugg,Reinacher,,43,38,DNF,DNC,DNC,DNC,20,287,45
SUI,8346,Weber,Grob,,46,43,45,40,40,DSQ,37,287,46
GBR,8304,Lowden,Fra Rainsborough,,40,42,DNC,DNC,43,43,36,290,47
GER,8539,Mühlbauer,Rathjen,,37,34,40,DNC,DNF,DNC,DNC,297,48
SUI,8612,Heiner Kyburz,Herbert Hermann,,41,46,36,DNF,DNC,DNC,DNC,309,49
