Nation,Boat No,Helm,Crew,Boat,Jibing Center Board,Mast,Main,Jib,Spi,Weight Helmsman,Weight Crew,Weight Jacket
SUI,8441,Markus Bohren,Rogher Fischer,Waterat,Y,Proctor D,Green,Green,Green,52,105,N
DEN,8620,Rasmus Damsgaard,Søren Overbeck,Rondar,N,Super Spar M2,Bojsen-Möller,Bojsen-Möller,Bojsen-Möller,68,82,Y
GBR,8464,Geoff Carveth,Ian Mitchell,Rondar,Y,Proctor D,Pinnell (Mylar),Pinnell,Pinnell (Med),76,89,N
GER,8550,Dietrich Scheder-Bieschin,Klaus Stammerjohann,Rondar,Y,Super Spar M2,Schultz,Schultz,Pinnell,70,85,Y
DEN,8082,Kim Christensen,Jens Langendorf,Waterat,Y,Super Spar M2,Bojsen-Möller,Bojsen-Möller,Bojsen-Möller,77,80,Y
GER,8621,Dirk Filiminov,Lars Stöckmann,Kyrwood,N,Super Spar M2,Rebell,UK,UK,70,83,Y
SUI,8569,René Betschen,Philippe Jacot,Duvoisin,Y,Proctor D,Danger,Danger,Pinnell,75,99.5,N
DEN,8476,Jan Saugmann,Morten Ramsbæk,Rondar,N,Super Spar M2,Bojsen-Möller,Bojsen-Möller,Bojsen-Möller,70,93,N
SUI,8016,Jean-Francois de Cerjat,François Moeckli,Waterat,Y,Proctor D,Danger,Danger,Pinnell,56,105,N
GER,8623,Stefan Böhm,Gerald Roos,Rondar,N,?,Laatsch,Laatsch,Laatsch,85,85,Y
