Nation,Boat NO,helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
USA,8610,Mike Mills,Nick Trotman,,3,16,0,0,19,1
USA,7318,Mike Zani,,,0,0,13,10,23,2
GER,8552,Mark Upton-Brown,,,11.7,5.7,10,8,35.4,3
DEN,8620,Jan Saugmann,,,22,18,3,5.7,48.7,4
GER,8685,Jim Hunt,,,39,20,11.7,3,73.7,5
USA,7773,Beeckman,,,15,10,28,22,75,6
GER,8556,Ri Tew,,,33,22,14,15,84,7
CAN,8681,Ro Brown,,,5.7,32,31,17,85.7,8
USA,8083,Ne Fowler,,,29,11.7,20,34,94.7,9
USA,8680,B Edwards,,,32,30,22,14,98,10
AUS,8524,Leslie Nathonson,,,47,15,18,18,98,10
USA,8629,Ty Moore,,,14,14,40,31,99,12
GER,8676,Clive Robinson,,,50,13,25,23,111,13
GER,8669,Ti Boger,,,41,29,21,21,112,14
USA,8627,T Collins,,,10,36,39,32,117,15
GER,8378,M Hodgson,,,46,26,27,20,119,16
AUS,8499,M Higgins,,,20,48,33,25,126,17
GER,8542,To Swift,,,37,38,29,26,130,18
USA,7092,Ke Elliot,,,25,40,44,27,136,19
USA,7771,Ho Hamlin,,,8,3,19,111 DNC,141,20
USA,7873,El Ablow,,,28,35,51,28,142,21
SWE,8232,Eb Rosen,,,16,8,15,111 DNC,150,22
DEN,8551,Ja Ernst,,,60,31,32,30,153,23
USA,8576,Te Neff,,,31,33,50,40,154,24
GER,8671,Muehlbauer,,,21,42,53,39,155,25
GER,8481,C Howarth,,,23,111 DSQ,5.7,16,155.7,26
CAN,8442,Hu Morrin,,,34,43,46,33,156,27
DEN,8622,T Borland,,,111 PMS,17,16,13,157,28
USA,8194,To Kivney,,,30,49,45,38,162,29
GER,8701,Pa Lovesy,,,58,50,36,19,163,30
GER,8381,St Adams,,,51,34,42,44,171,31
ARG,8603,Ia Dunn,,,55,60,34,29,178,32
GER,8550,Scheder-Bi,,,19,25,24,111 DNC,179,33
USA,8059,Ti Wadlow,,,67,45,38,36,186,34
AUS,8644,Da Porter,,,13,28,37,111 DNC,189,35
USA,8191,Ma Nelson,,,17,39,23,111 DNC,190,36
USA,7096,Ma Largay,,,52,47,49,45,193,37
GER,8642,Stefan Schollmayer,,,56,61,47,35,199,38
FRA,8455,M Buffett,,,48,59,55,37,199,38
USA,7358,M Breault,,,53,46,60,41,200,40
USA,7346,Latane Montague,,,44,51,58,51,204,41
GER,8429,Robert Napier,,,111 PMS,41,30,24,206,42
CAN,7095,Jo Hayley,,,35,70,64,48,217,43
USA,7093,Et Bixby,,,40,23,43,111 DNC,217,43
USA,8018,Papadakis,,,49,56,65,50,220,45
SWE,8619,Mi Ahrbom,,,57,21,35,111 DNC,224,46
DEN,8561,Pe Moller,,,72,54,59,42,227,47
AUS,8668,Ma Hansen,,,66,65,56,43,230,48
CAN,7605,Re Gesing,,,75,55,52,49,231,49
USA,8085,De La Rie,,,27,27,68,111 DNC,233,50
GER,8679,David Smithwhite,,,111 DNC,111 DNC,8,11.7,241.7,51
GER,8583,Ch Delves,,,43,53,41,111 DNC,248,52
USA,8600,Ki Kaiser,,,74,67,71,46,258,53
USA,6821,Wi Pevear,,,62,62,26,111 DNC,261,54
USA,8624,D Stetson,,,68,78,69,52,267,55
GER,8526,Ti Bird,,,36,64,57,111 DNC,268,56
CAN,7150,Ia Torrie,,,88,72,67,47,274,57
USA,8013,Da Smith,,,54,57,54,111 DNC,276,58
GER,8591,Da Bell,,,86,76,66,53,281,59
