Country,Sail Nb.,Name,,,Cavalaire,Riva,Kalovig,Nieuwpoort,Hayling Island,Cavalaire Points,Riva Points,Kalovig Points,Nieuwpoort Points,Hayling Island Points,,,,,,
SWE,8232,Rosen Ebbe,,,,,9,,,0,0,42,0,0,,,1,,42,72
GER,8633,Hartwig Jens,,,,9,,,,0,42,0,0,0,,,1,,42,73
FRA,8545,Preel Alain,,,39,,,,,42,0,0,0,0,,,1,,42,74
GBR,8510,Wedge Martin,,,,,,31,29,0,0,0,20,22,,,2,,42,75
GER,8633,Achterberg Frieder,,,70,,,20,,11,0,0,31,0,,,2,,42,76
DEN,8565,Olesen Anne-Sophie,,,,,10,,,0,0,41,0,0,,,1,,41,77
GER,8550,Scheder Dietrich,,,40,,,,,41,0,0,0,0,,,1,,41,78
FRA,8554,Lauren May,,,,,,11,,0,0,0,40,0,,,1,,40,79
DEN,8551,Ernst Jacob,,,,,11,,,0,0,40,0,0,,,1,,40,80
GER,8571,Hilgers Karl-Heinz,,,41,,,,,40,0,0,0,0,,,1,,40,81
BEL,8536,Mey Nendonck,,,,,,12,,0,0,0,39,0,,,1,,39,82
GBR,8508,Neal Sam,,,,,,,12,0,0,0,0,39,,,1,,39,83
USA,7200,Meller Alexander,,,,12,,,,0,39,0,0,0,,,1,,39,84
GER,8657,Gorge Martin,,,,,13,,,0,0,38,0,0,,,1,,38,85
FRA,8491,Veroul Frédéric,,,43,,,,,38,0,0,0,0,,,1,,38,86
SUI,8079,Nydegger Lorenz,,,44,,,,,37,0,0,0,0,,,1,,37,87
den,8561,Moller Peter,,,,,15,,,0,0,36,0,0,,,1,,36,88
SUI,8486,Zund Simone,,,,15,,,,0,36,0,0,0,,,1,,36,89
GER,8674,Kremkow Rainer,,,45,,,,,36,0,0,0,0,,,1,,36,90
FRA,8002,Rouanne Dominique,,,66,,,30,,15,0,0,21,0,,,2,,36,91
GBR,8592,Hector Cisneros,,,,,,,16,0,0,0,0,35,,,1,,35,92
DEN,8476,Larsen Per,,,,,16,,,0,0,35,0,0,,,1,,35,93
GER,8662,Stolken Jan,,,46,,,,,35,0,0,0,0,,,1,,35,94
SUI,8441,Urs Oldani,,,81,16,,,,0,35,0,0,0,,,2,,35,95
