Nation,Boat No,Helm,Crew,,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
DEN,8656,Schonherr,Bojsen-Moller,,,,,,,,7,1
DEN,8622,Bojland,Friis,,,,,,,,8,2
DEN,8620,Saugmann,Ramsbek,,,,,,,,11,3
DEN,8405,Klaus Natorp,Erik Ørsted,,,,,,,,15,4
DEN,8675,Fredsted,Hartvig,,,,,,,,18,5
,,,,,,,,,,,,6
,,,,,,,,,,,,7
,,,,,,,,,,,,8
,,,,,,,,,,,,9
,,,,,,,,,,,,10
,,,,,,,,,,,,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
,,,,,,,,,,,,14
,,,,,,,,,,,,15
