Nation,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Place
SWE,8655,Krister Bergstrom,Holger Jess,,1,1,1,1,1,1,5,1,DNC,12,1
DEN,8620,Saugmann,Ramsbek,,5,6,2,2,3,4,2,5,2,25,2
DEN,8622,Bojland,Friis,,10,9,4,4,4,6,1,6,3,37,3
GER,8669,Boger,Christiani,,3,7,3,3,6,8,14,OCS,4,48,4
GER,8563,Mathias Jetschke,Klaus Stammerjohann,,12,3,DNC,7,2,2,12,7,7,52,5
GER,8542,Swift,Schoeler,,4,5,10,5,7,5,10,15,8,54,6
GER,8570,Rix,Achenbach,,11,8,8,12,8,3,8,8,6,60,7
DEN,8082,Christensen,Langendorf,,8,4,7,8,5,DNC,4,2,OCS,65,8
SWE,8232,Rosen,Wenrup,,2,2,DNF,6,DNC,DNC,3,4,1,72,9
DEN,8565,Olesen,Pedersen,,14,11,5,9,9,7,24,13,12,80,10
DEN,8551,Jacob Ernst,Jesper Ernst,,6,15,9,13,DNC,11,9,9,9,81,11
GER,8567,Detmold,Neuhaus,,16,16,11,11,11,9,13,10,DNC,97,12
GER,8657,Martin Görge,Thorsten Haverland,,9,10,DNF,DNF,10,OCS,7,3,5,98,13
DEN,8675,Rasmus Fredsted,Hartvig Larsen,,7,14,OCS,10,14,DNC,17,12,13,114,14
DEN,8561,Peter Møller,Jesper Jespersen,,21,12,13,16,DNF,10,20,18,15,125,15
DEN,8476,Larsen,Andersen,,18,18,14,DNF,DNC,DNC,6,14,10,134,16
GER,8634,Thumann,Weichel,,15,13,12,15,12,DNC,19,21,DNC,134,17
SWE,8619,Ahrbom,Thurell,,13,17,6,DNC,DNC,11,OCS,11, ,139,18
SWE,8585,Jan Eriksson,Hakan Larsson,,DNC,DNC,DNC,14,15,12,18,11,16,140,19
DEN,8581,Jon Andersen,Lasse Andersen,,22,21,15,19,13,13,22,24,19,144,20
DEN,7017,Jespersen,Helle Jespersen,,20,16,17,DNF,DNC,15,19,14, ,148,21
GER,8609,Mullejeans,Engel,,19,19,DNF,18,DNF,DNC,23,16,DNC,176,22
SWE,8427,Lindvall,Byrenius,,17,DNC,DNF,DNF,DNC,DNC,16,17,DNF,185,23
DEN,7934,Mollevang,Karbo,,DNF,22,DNC,DNF,DNF,DNC,21,20,17,188,24
DEN,8364,Lundsager,Andersen,,23,23,DNF,DNF,DNC,DNC,25,22,18,192,25
SWE,6718,Jan Thews,Kalle Thews,,DNC,DNC,DNC,DNC,DNC,26,23,DNC,,208,26
