Nation,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Laufwertungen,,,,,,,,,Platz
GER,8670,Wolfgang Hunger,Holger Jess,PYC,1,1,1,3,1,1,1,1,,1
GER,8657,Martin Görge,Rainer Görge,TSVS,2,2,2,2,2,2,2,2,,2
GER,8608,Bernd Rasenack,Jörn Richter,ZSK,4,4,5,6,6,10,8,4,,3
GER,8539,Oliver Ziems,Ute Ziems,RoYC,6,6,6,11,9,3,3,6,,4
GER,8575,Tom Gosch,Rolf Meyer,ENSFV,3,5,3,11,5,DNS,DNS,DNS,,5
GER,8365,Carsten Kraus,Norbert Lins,TSVS,5,7,8,15,8,4,9,10,,6
GER,8471,Jens Schlomka,Klaus Stammerjohann,TSVS,7,3,4,4,4,DNS,DNS,DNS,,7
GER,8590,Stefan Köchlin,Uli Meyer,SKF,DNS,DNS,DNS,5,3,5,4,3,,8
GER,8478,Volker Görge,Karsten Morf,TSVS,11,12,9,9,15,6,6,7,,9
GER,3575,Suzi Pudenz,Antje Sauter,SCB,10,8,15,8,10,8,7,9,,10
GER,7878,Karsten Steinbach,Michael Schindler,,12,10,7,17,12,11,11,12,,11
GER,8542,Tom Swift,,WYC,DNS,DNS,DNS,DNS,7,9,5,5,,12
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,8,11,10,7,13,DNS,DNS,DNS,,13
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,9,9,14,10,14,DNS,DNS,DNS,,14
GER,8256,Dirk Kindler,Eike Dietrich,WSCW,13,18,11,12,17,15,13,11,,15
GER,8222,Christian Koch,Dirk Schrage,KYC,15,13,12,18,19,14,12,15,,16
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,DNS,DNS,DNS,DNS,DNS,7,10,8,,17
GER,8430,Klaus Heeschen,Gundula Miksch,VFS,14,15,18,16,16,12,14,13,,18
GER,8421,Christoff Blecken,Hannes Becker,BSV,16,14,13,13,18,DNS,DNS,DNS,,19
GER,7856,Kai-Uwe Weiss,Eric Wolf,,17,17,17,DNF,DNF,13,15,14,,20
GER,8465,Jens Hufnagel,,SCStM,DNS,DNS,DNS,14,11,DNS,DNS,DNS,,21
GER,8674,Petra Beier,Rainer Kremkow,,DNS,16,16,19,DNF,16,16,16,,22
