Nation,Number,Skipper,,Boat,race 1,race 2,race 3,race 4,points,Place
USA,7096,Charley Parker,,Somrthing Blue,2,2,1,1,6,1
USA,8577,Bruce Van Deventer,,Plum Crazy,1,1,2,dnf,7,2
USA,4088,Seth Goldernberg,,(Goldensberg),3,3,3,dns,13,3
