Nation,Sail #,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,w/drop,Place
USA,8714,Mike Martin,Jeff Nelson,,2,6*,1,1,4,2,1,17,11,1
USA,8824,Andy Beeckman,Ben Benjamin,,1,1,4,5*,2,4,3,20,15,2
USA,8680,Bruce Edwards,Dave Shelton,,4,4,8*,2,3,1,2,24,16,3
USA,11,Morgan Larson,Trevor Baylis,,3,3,3,3,1,3,5*,21,16,4
USA,8554,Doug Hagan,Stuart Park,,13*,2,2,6,5,5,4,37,24,5
USA,7873,Nick Adamson,Alan Norman,,5,5,5,7,6,7,9*,44,35,6
USA,8731,Thad Lieb,Mike Smith,,7,7,6,10*,9,9,7,55,45,7
USA,8841,Shark Kahn,Paul Allen,,6,11*,11,4,11,8,8,59,48,8
USA,8838,Philippe Kahn,Andy Escourt,,9,8,7,8,10*,10,10,62,52,9
USA,8823,Nige Oswald,Rob Woelfel,,8,14*,14,14,7,6,6,69,55,10
USA,7156,Aaron Ross,Ben Glass/Dave Byron,,10,9,9,9,8,14*,14,73,59,11
USA,6991,Geoff Nelson,Ben Wood,,12,10,14*,14,12,11,11,84,70,12
USA,7110,Ryan Nelson,Brett Tracy,,11,13,10,14*,13,13,12,86,72,13
USA,7094,Jennifer Lawson,Soren Jensen,,14*,12,12,11,14,12,13,88,74,14
