Nation,SailNo,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Race 13,Total,Nett,Rank
USA,8012,Henry Amthor,Clayton James,,2,[3],1,2,2,1,1,1,1,2,[6],1,2,25,16,1st
CAN,8264,Jeff Boyd,Martin ten Hove,,1,1,2,1,1,2,2,[4],2,1,1,2,[12 OCS],32,16,2nd
CAN,8442,Stephen Adolph,Stephen Adolph,,5,2,[12 DNC],[8],3,3,3,2,3,3,3,3,1,51,31,3rd
USA,8850,Douglas Watson,Gabriel Watson,,6,6,3,3,4,4,7,3,[12 DNC],[12 DNC],4,4,6,74,50,4th
CAN,8696,Nick Kroeger,David Adams,,[11],5,4,4,5,6,4,[12 OCS],4,4,8,7,8,82,59,5th
CAN,7605,Renka Gesing,Adam Gesing,,[8],7,5,5,7,7,5,7,6,7,2,[12 DNF],4,82,62,6th
CAN,8233,Marie Gendron,,,9,8,6,[12 DNC],[12 DNC],5,6,5,5,8,5,5,3,89,65,7th
CAN,8610,Shona Weldon,Michael Wonnacott,,3,[10],8,6,8,9,[12 DNF],6,7,6,7,6,5,93,71,8th
CAN,8535,Margaret Hurley,Christian DeChamplain,,4,[12 DNC],[12 DNC],7,6,11,12 DNC,12 DNC,8,5,9,9,9,116,92,9th
CAN,8410,Clarissa Bush,Chris Gillies,,7,4,7,9,[12 DNF],8,[12 DNC],12 DNF,12 DNC,12 DNC,10,10,7,122,98,10th
USA,8190,Tim Sayles,Graham Sayles,,10,9,9,[12 DNF],[12 DNC],10,8,8,12 DNC,12 DNC,11,8,12 DNF,133,109,11th
